id,formula_name_pinyin,formula_name_english,main_indication_short,Enhanced_Nutrition_Modern_Diets
1,Si Jun Zi Tang,Four Gentlemen Decoction,Tonifies Spleen Qi deficiency with fatigue and poor appetite.,"🍚 Cooked warm foods, Sweet potato, Rice congee, Chicken soup, Bone broth | 🥬 Well-cooked vegetables | 🍖 Easy-to-digest proteins | Avoid: Raw/cold foods, dairy, ice cream, excessive sweets | 🥄 Diet: Omnivore (best), Paleo (good), AIP; Poor for: Raw vegan, Keto (too dry), Cold foods"
2,Liu Jun Zi Tang,Six Gentlemen Decoction,Spleen Qi deficiency with Damp/Phlegm causing nausea and bloating.,"🍚 Cooked warm foods, Sweet potato, Rice congee, Chicken soup, Bone broth | 🥬 Well-cooked vegetables | 🍖 Easy-to-digest proteins | Avoid: Raw/cold foods, dairy, ice cream, excessive sweets | 🥄 Diet: Omnivore (best), Paleo (good), AIP; Poor for: Raw vegan, Keto (too dry), Cold foods"
3,Xiang Sha Liu Jun Zi Tang,Six Gentlemen with Aucklandia and Amomum,"Spleen-Stomach Qi deficiency with Cold and stagnation, digestive discomfort.","🍚 Cooked warm foods, Sweet potato, Rice congee, Chicken soup, Bone broth | 🥬 Well-cooked vegetables | 🍖 Easy-to-digest proteins | Avoid: Raw/cold foods, dairy, ice cream, excessive sweets | 🥄 Diet: Omnivore (best), Paleo (good), AIP; Poor for: Raw vegan, Keto (too dry), Cold foods"
4,Shen Ling Bai Zhu San,"Ginseng, Poria and Atractylodes Powder",Spleen Qi deficiency with Damp causing loose stools and fatigue.,"🍚 Cooked warm foods, Sweet potato, Rice congee, Chicken soup, Bone broth | 🥬 Well-cooked vegetables | 🍖 Easy-to-digest proteins | Avoid: Raw/cold foods, dairy, ice cream, excessive sweets | 🥄 Diet: Omnivore (best), Paleo (good), AIP; Poor for: Raw vegan, Keto (too dry), Cold foods"
5,Bu Zhong Yi Qi Tang,Tonify the Middle and Augment the Qi Decoction,"Middle Qi sinking, prolapse, chronic fatigue.","🍚 Cooked warm foods, Sweet potato, Rice congee, Chicken soup, Bone broth | 🥬 Well-cooked vegetables | 🍖 Easy-to-digest proteins | Avoid: Raw/cold foods, dairy, ice cream, excessive sweets | 🥄 Diet: Omnivore (best), Paleo (good), AIP; Poor for: Raw vegan, Keto (too dry), Cold foods"
6,Si Wu Tang,Four Substances Decoction,Liver Blood deficiency with dizziness and scant menses.,"🥩 Grass-fed red meat, Liver, Bone marrow broth, Dark leafy greens (spinach, chard), Beets, Blackstrap molasses, Eggs, Organic poultry | 🐟 Sardines, salmon | 🫘 Black beans, lentils | Avoid: Iced drinks, raw foods | 🥄 Diet: Omnivore/Paleo (best), Pescatarian (good), Iron-rich Mediterranean; Challenging for: Vegan (needs B12/iron supplements)"
7,Ba Zhen Tang,Eight Treasures Decoction,Combined Qi and Blood deficiency.,"🥩 Grass-fed red meat, Liver, Bone marrow broth, Dark leafy greens (spinach, chard), Beets, Blackstrap molasses, Eggs, Organic poultry | 🐟 Sardines, salmon | 🫘 Black beans, lentils | Avoid: Iced drinks, raw foods | 🥄 Diet: Omnivore/Paleo (best), Pescatarian (good), Iron-rich Mediterranean; Challenging for: Vegan (needs B12/iron supplements)"
8,Shi Quan Da Bu Tang,All-Inclusive Great Tonifying Decoction,Qi and Blood deficiency with mild Cold.,"🥩 Grass-fed red meat, Liver, Bone marrow broth, Dark leafy greens (spinach, chard), Beets, Blackstrap molasses, Eggs, Organic poultry | 🐟 Sardines, salmon | 🫘 Black beans, lentils | Avoid: Iced drinks, raw foods | 🥄 Diet: Omnivore/Paleo (best), Pescatarian (good), Iron-rich Mediterranean; Challenging for: Vegan (needs B12/iron supplements)"
9,Gui Pi Tang,Restore the Spleen Decoction,Spleen Qi and Heart Blood deficiency with insomnia and worry.,"🥩 Grass-fed red meat, Liver, Bone marrow broth, Dark leafy greens (spinach, chard), Beets, Blackstrap molasses, Eggs, Organic poultry | 🐟 Sardines, salmon | 🫘 Black beans, lentils | Avoid: Iced drinks, raw foods | 🥄 Diet: Omnivore/Paleo (best), Pescatarian (good), Iron-rich Mediterranean; Challenging for: Vegan (needs B12/iron supplements)"
10,Liu Wei Di Huang Wan,Six-Ingredient Pill with Rehmannia,Kidney and Liver Yin deficiency with low back pain and night sweats.,"🐟 Wild fish, Oysters, Seaweed (nori, kombu), Black sesame, Black beans, Black rice, Eggs, Bone marrow | 🥣 Miso soup | 🌱 Vegan options: Walnuts, goji berries, mulberries | 🥛 Almond milk | Avoid: Spicy, fried, alcohol, coffee, excess salt | 🥄 Diet: Mediterranean (best), Pescatarian (excellent), Omnivore, Plant-based (with seeds/nuts); All diets adaptable"
11,Zhi Bai Di Huang Wan,"Anemarrhena, Phellodendron and Rehmannia Pill",Kidney Yin deficiency with pronounced Heat signs.,"🐟 Wild fish, Oysters, Seaweed (nori, kombu), Black sesame, Black beans, Black rice, Eggs, Bone marrow | 🥣 Miso soup | 🌱 Vegan options: Walnuts, goji berries, mulberries | 🥛 Almond milk | Avoid: Spicy, fried, alcohol, coffee, excess salt | 🥄 Diet: Mediterranean (best), Pescatarian (excellent), Omnivore, Plant-based (with seeds/nuts); All diets adaptable"
12,Qi Ju Di Huang Wan,"Lycium, Chrysanthemum and Rehmannia Pill",Liver and Kidney Yin deficiency with eye problems.,"🐟 Wild fish, Oysters, Seaweed (nori, kombu), Black sesame, Black beans, Black rice, Eggs, Bone marrow | 🥣 Miso soup | 🌱 Vegan options: Walnuts, goji berries, mulberries | 🥛 Almond milk | Avoid: Spicy, fried, alcohol, coffee, excess salt | 🥄 Diet: Mediterranean (best), Pescatarian (excellent), Omnivore, Plant-based (with seeds/nuts); All diets adaptable"
13,Du Qi Wan,Capital Qi Pill,Kidney Yin deficiency with wheezing and cough.,"🐟 Wild fish, Oysters, Seaweed (nori, kombu), Black sesame, Black beans, Black rice, Eggs, Bone marrow | 🥣 Miso soup | 🌱 Vegan options: Walnuts, goji berries, mulberries | 🥛 Almond milk | Avoid: Spicy, fried, alcohol, coffee, excess salt | 🥄 Diet: Mediterranean (best), Pescatarian (excellent), Omnivore, Plant-based (with seeds/nuts); All diets adaptable"
14,Jin Gui Shen Qi Wan,Kidney Qi Pill from the Golden Cabinet,Kidney Yang deficiency with cold limbs and edema.,"🥩 Lamb, Venison, Grass-fed beef, Bone broth with marrow, Organic chicken | 🦐 Shrimp, Mussels, Clams | 🌰 Walnuts, Chestnuts, Pine nuts | 🧄 Garlic, Ginger, Cinnamon, Clove | Avoid: Raw/cold foods, iced drinks, tropical fruits | 🥄 Diet: Carnivore (short-term), Paleo (best), Omnivore with warming foods; Not suitable for: Vegan/Raw diets (too cooling)"
15,You Gui Wan,Restore the Right (Kidney) Pill,Kidney Yang and Essence deficiency with exhaustion.,"🥩 Lamb, Venison, Grass-fed beef, Bone broth with marrow, Organic chicken | 🦐 Shrimp, Mussels, Clams | 🌰 Walnuts, Chestnuts, Pine nuts | 🧄 Garlic, Ginger, Cinnamon, Clove | Avoid: Raw/cold foods, iced drinks, tropical fruits | 🥄 Diet: Carnivore (short-term), Paleo (best), Omnivore with warming foods; Not suitable for: Vegan/Raw diets (too cooling)"
16,Zuo Gui Wan,Restore the Left (Kidney) Pill,Kidney Yin and Essence deficiency with weakness.,"🐟 Wild fish, Oysters, Seaweed (nori, kombu), Black sesame, Black beans, Black rice, Eggs, Bone marrow | 🥣 Miso soup | 🌱 Vegan options: Walnuts, goji berries, mulberries | 🥛 Almond milk | Avoid: Spicy, fried, alcohol, coffee, excess salt | 🥄 Diet: Mediterranean (best), Pescatarian (excellent), Omnivore, Plant-based (with seeds/nuts); All diets adaptable"
17,Er Chen Tang,Two-Cured Decoction,Phlegm-Damp in middle burner with nausea and cough.,"🥬 Steamed vegetables, Bitter greens (arugula, dandelion), Radish, Mushrooms, Barley, Job's tears, Celery, Bok choy | 🍵 Green tea, Oolong tea | 🫚 Ginger, Turmeric | Avoid: Dairy (all), sugar, greasy/fried foods, wheat, alcohol, bananas, refined carbs | 🥄 Diet: Vegan/Vegetarian (excellent), Paleo (good), AIP, Whole30, Non-dairy essential; Incompatible with: Standard American Diet, Keto (too fatty)"
18,Wen Dan Tang,Warm the Gallbladder Decoction,"Phlegm-Heat disturbing the Gallbladder and Stomach, insomnia, palpitations.","🥬 Steamed vegetables, Bitter greens (arugula, dandelion), Radish, Mushrooms, Barley, Job's tears, Celery, Bok choy | 🍵 Green tea, Oolong tea | 🫚 Ginger, Turmeric | Avoid: Dairy (all), sugar, greasy/fried foods, wheat, alcohol, bananas, refined carbs | 🥄 Diet: Vegan/Vegetarian (excellent), Paleo (good), AIP, Whole30, Non-dairy essential; Incompatible with: Standard American Diet, Keto (too fatty)"
