Question,Answer,Points,Pharmacopeia,Pregnancy_Warning
What is the TCM approach to anxiety?,Anxiety in TCM relates to Heart and Kidney disharmony Liver Qi stagnation or Spleen Qi deficiency. Heart houses the Shen; when disturbed anxiety results. Treatment calms Shen regulates Qi and nourishes deficiencies.,"HT7, PC6, GV20, Yintang, LR3",Xiao Yao San for Liver Qi; Gui Pi Tang for Heart-Spleen deficiency,Safe formulas during pregnancy with modifications
What points treat depression?,GV20 (Baihui) lifts the spirit. Yintang calms and centers. HT7 (Shenmen) nourishes Heart. LR3 moves stagnant Qi. PC6 opens the chest. ST36 strengthens overall Qi.,"GV20, Yintang, HT7, LR3, PC6, ST36",Xiao Yao San; Chai Hu Shu Gan San; Ban Xia Hou Po Tang,Safe formulas available during pregnancy
How to treat insomnia with acupuncture?,HT7 is the primary point for sleep. Anmian (extra point) specifically for insomnia. Shenmen ear point. KI3 for Kidney-Heart axis. SP6 nourishes blood for sleep.,"HT7, Anmian, KI3, SP6, Yintang",Suan Zao Ren Tang; Tian Wang Bu Xin Dan,Safe sleep formulas during pregnancy
What is the treatment for panic attacks?,PC6 (Neiguan) calms the Heart and chest. HT7 stabilizes the Shen. CV17 (Shanzhong) opens chest. GV20 lifts and calms. LR3 for Liver Qi rushing up.,"PC6, HT7, CV17, GV20, LR3",Chai Hu Jia Long Gu Mu Li Tang,Modify formula for pregnancy safety
How to treat PTSD with TCM?,PTSD involves Heart-Shen disturbance with Kidney fear. HT7 and PC6 calm Heart. KI3 addresses fear. GB20 releases held tension. GV20 for mental clarity. BL15 for Heart shu.,"HT7, PC6, KI3, GB20, GV20, BL15",Gui Pi Tang; An Shen formulas,Trauma support safe during pregnancy
What points help with bipolar disorder?,GV20 (Baihui) regulates up and down. HT7 calms mania. PC6 stabilizes emotions. LR3 for Liver affecting mood. KI3 for Kidney grounding. SP6 for blood nourishing.,"GV20, HT7, PC6, LR3, KI3, SP6",Pattern-dependent formulas,Coordinate with mental health care; modify for pregnancy
How to treat OCD with acupuncture?,HT7 calms obsessive thoughts. GV20 for mental patterns. PC6 for emotional regulation. LR3 for Liver Qi binding. Yintang for calming mind. KI3 for grounding.,"HT7, GV20, PC6, LR3, Yintang, KI3",Gui Pi Tang modifications,Safe supportive treatment during pregnancy
What is the treatment for chronic stress?,LR3 (Taichong) releases Liver Qi stagnation. GB21 (Jianjing) releases shoulder tension. GV20 calms mind. HT7 for Heart. PC6 for chest and emotions.,"LR3, GB21, GV20, HT7, PC6",Xiao Yao San is primary,GB21 contraindicated during pregnancy; alternatives available
How to treat emotional eating?,ST36 and CV12 for Stomach harmony. PC6 for emotional eating. HT7 for Heart involvement. LR3 for Liver-Spleen disharmony. Ear points for appetite.,"ST36, CV12, PC6, HT7, LR3",Xiao Yao San plus digestive support,Safe approach during pregnancy
What points help with grief and loss?,LU7 (Lieque) for Lung emotion of grief. LU1 (Zhongfu) opens chest. CV17 for Heart protector. HT7 for Heart Shen. PC6 for emotional release.,"LU7, LU1, CV17, HT7, PC6",Gan Mai Da Zao Tang,Safe emotional support during pregnancy
How to treat anger issues?,LR2 (Xingjian) drains Liver fire. LR3 (Taichong) moves Liver Qi. GB20 for Liver Yang. GV20 to calm rising Yang. PC6 for emotional control.,"LR2, LR3, GB20, GV20, PC6",Long Dan Xie Gan Tang; Dan Zhi Xiao Yao San,Avoid strong Liver-draining during pregnancy
