Line,Original Name,File Name,Category,Language,Status,Chunks,Created At,Priority_Score,Priority_Tier
72,Treatment_Planning_Protocols_Professional_100plus.csv,Treatment_Planning_Protocols_Professional_100plus.csv,treatment_protocols,en,indexed,106,2025-12-31,110.0,1-Critical
87,Profound_Crisis_QA_100_Complete.csv,Profound_Crisis_QA_100_Complete.csv,crisis_emergency,en,indexed,94,2025-12-30,109.4,1-Critical
85,acupuncture_point_warnings_comprehensive.csv,acupuncture_point_warnings_comprehensive.csv,safety_warnings,en,indexed,90,2025-12-30,109.0,1-Critical
92,chronic-pain-management.csv,chronic-pain-management.csv,clinical_protocols,en,indexed,56,2025-12-26,105.6,1-Critical
45,🎗️ TCM Oncology Comprehensive (53 Cancer Types - All Ages),____TCM_Oncology_Comprehensive__53_Cancer_Types_-_All_Ages_,clinical_protocols,en,indexed,55,2026-01-04,105.5,1-Critical
57,"🏎️ CAF Master Studies (50 Clinical Frameworks - ""Ferrari"" Engine)",____CAF_Master_Studies__50_Clinical_Frameworks_-__Ferrari__Engine_,clinical_protocols,en,indexed,50,2026-01-01,105.0,1-Critical
97,herbal 200 formula.csv,herbal_200_formula.csv,herbal_medicine,en,indexed,200,2025-12-26,100.0,2-Core
74,Diagnostics_Professional_Corrected_4Columns.csv,Diagnostics_Professional_Corrected_4Columns.csv,tcm_diagnosis,en,indexed,100,2025-12-31,100.0,2-Core
104,KNOWLEDGE_ACUPUNCTURE_POINTS_BOOK^MPOINTS_CATACORIES_1-2.pdf,acupuncture-points-sapir-guide.pdf,acupuncture_points,en,indexed,1798,2025-12-25,100.0,2-Core
83,clinic_tongue_diagnosis_reference.csv,clinic_tongue_diagnosis_reference.csv,tcm_diagnosis,en,indexed,70,2025-12-30,97.0,2-Core
2,Sapir Acupuncture Points Guide - Location & Energetic Functions,KNOWLEDGE_ACUPUNCTURE_POINTS_BOOK_POINTS_CATEGORIES.docx,acupuncture,en,indexed,50,2026-01-07,95.0,2-Core
84,clinic_pulse_diagnosis_reference.csv,clinic_pulse_diagnosis_reference.csv,tcm_diagnosis,en,indexed,50,2025-12-30,95.0,2-Core
103,pulse_and_tongue_diagnosis-2.pdf,pulse_and_tongue_diagnosis-2.pdf,tcm_diagnosis,he,indexed,45,2025-12-25,94.5,2-Core
60,Four Examinations (Si Zhen) - 40 Diagnostic Signs,Four_Examinations__Si_Zhen__-_40_Diagnostic_Signs,tcm_diagnosis,en,indexed,40,2026-01-01,94.0,2-Core
1,Pulse & Tongue Diagnosis Guide - Hebrew (East-West Academy),pulse_and_tongue_diagnosis-3.pdf,tcm_diagnosis,he,indexed,33,2026-01-07,93.3,2-Core
5,Dr Zang Fu Syndromes Q&A (Hebrew),dr-zanfu-syndromes-qa.csv,tcm-syndromes,he,indexed,27,2026-01-07,92.7,2-Core
52,neuro-degenerative-tcm-100.csv,neuro-degenerative-tcm-100.csv,neurology,en,indexed,100,2026-01-02,90.0,3-Specialty
53,"🧠 Vagus Nerve Q&A (100 Symptoms, Mechanisms, Points & Formulas)",___Vagus_Nerve_Q_A__100_Symptoms__Mechanisms__Points___Formulas_,neurology,en,indexed,100,2026-01-02,90.0,3-Specialty
58,tcm_renovada_skin_renewal_100qa.csv,tcm_renovada_skin_renewal_100qa.csv,dermatology,en,indexed,100,2026-01-01,90.0,3-Specialty
77,skin_disease_qa_100.csv,skin_disease_qa_100.csv,dermatology,en,indexed,100,2025-12-30,90.0,3-Specialty
63,womens-health-tcm.csv,womens-health-tcm.csv,womens_health,en,indexed,99,2026-01-01,89.9,3-Specialty
91,digestive-disorders.csv,digestive-disorders.csv,digestive_disorders,en,indexed,60,2025-12-26,86.0,3-Specialty
47,TCM_Oncology_Comprehensive_All_Ages.csv,tcm-oncology-comprehensive.csv,oncology,en,indexed,53,2026-01-04,85.3,3-Specialty
68,tcm_elderly_70-120_qa_50.csv,tcm_elderly_70-120_qa_50.csv,geriatric,en,indexed,50,2026-01-01,85.0,3-Specialty
66,adults_50_70.csv,adults_50_70.csv,geriatric,en,indexed,50,2026-01-01,85.0,3-Specialty
62,"Fertility Protocols (IVF, Male Factor, Recurrent Loss)",Fertility_Protocols__IVF__Male_Factor__Recurrent_Loss_,womens_health,en,indexed,43,2026-01-01,84.3,3-Specialty
61,"Pregnancy Trimester Guide (Safe Points, Labor, Postpartum)",Pregnancy_Trimester_Guide__Safe_Points__Labor__Postpartum_,womens_health,en,indexed,41,2026-01-01,84.1,3-Specialty
65,elderly_lifestyle_recommendations.csv,elderly_lifestyle_recommendations.csv,geriatric,en,indexed,27,2026-01-01,82.7,3-Specialty
