Question_ID,Question,Answer,Acupuncture_Points,Pharmacopeia_Formula
Q001,What is the primary TCM pattern diagnosis for Eczema (Atopic Dermatitis)?,The primary pattern is Damp-Heat in Spleen.,"LI11 (Quchi), SP10 (Xuehai), SP6 (Sanyinjiao), ST36 (Zusanli)",Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction)
Q002,What is the primary TCM pattern diagnosis for Eczema (Chronic)?,The primary pattern is Blood Deficiency with Wind-Dryness.,"SP10 (Xuehai), BL17 (Geshu), LI11 (Quchi), ST36 (Zusanli)",Si Wu Tang (Four Substance Decoction) modified
Q003,What is the primary TCM pattern diagnosis for Psoriasis?,The primary pattern is Blood-Heat with Toxins.,"LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), BL40 (Weizhong)",Liang Xue Wu Gen Tang (Cool Blood Five Roots Decoction)
Q004,What is the primary TCM pattern diagnosis for Acne (Inflammatory)?,The primary pattern is Lung-Heat with Damp.,"LI4 (Hegu), LI11 (Quchi), LU7 (Lieque), ST36 (Zusanli)",Pi Pa Qing Fei Yin (Loquat Clear Lung Decoction)
Q005,What is the primary TCM pattern diagnosis for Acne (Hormonal)?,The primary pattern is Liver-Qi Stagnation.,"LR3 (Taichong), GB34 (Yanglingquan), LI4 (Hegu), SP6 (Sanyinjiao)",Xiao Yao San (Free and Easy Wanderer) modified
Q006,What is the primary TCM pattern diagnosis for Urticaria (Acute)?,The primary pattern is Wind-Heat invasion.,"LI11 (Quchi), SP10 (Xuehai), GV14 (Dazhui), LI4 (Hegu)",Xiao Feng San (Eliminate Wind Powder)
Q007,What is the primary TCM pattern diagnosis for Urticaria (Chronic)?,The primary pattern is Qi and Blood Deficiency.,"SP10 (Xuehai), ST36 (Zusanli), BL17 (Geshu), CV6 (Qihai)",Dang Gui Yin Zi (Tangkuei Drink)
Q008,What is the primary TCM pattern diagnosis for Rosacea?,The primary pattern is Lung-Heat with Blood Stasis.,"LI20 (Yingxiang), LI4 (Hegu), ST2 (Sibai), LU7 (Lieque)",Liang Xue Si Wu Tang (Cool Blood Four Substance Decoction)
Q009,What is the primary TCM pattern diagnosis for Vitiligo?,The primary pattern is Liver-Kidney Yin Deficiency.,"BL18 (Ganshu), BL23 (Shenshu), SP6 (Sanyinjiao), KI3 (Taixi)",Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill) modified
Q010,What is the primary TCM pattern diagnosis for Seborrheic Dermatitis?,The primary pattern is Spleen-Stomach Damp-Heat.,"ST36 (Zusanli), SP9 (Yinlingquan), LI11 (Quchi), SP6 (Sanyinjiao)",Yin Chen Wu Ling San (Artemisia Capillaris Five Ling Powder)
Q011,What is the primary TCM pattern diagnosis for Contact Dermatitis?,The primary pattern is Wind-Heat-Damp.,"LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), SP9 (Yinlingquan)",Xiao Feng San (Eliminate Wind Powder)
Q012,What is the primary TCM pattern diagnosis for Herpes Zoster (Shingles)?,The primary pattern is Liver-Fire with Damp-Heat.,"GB34 (Yanglingquan), LI11 (Quchi), SP10 (Xuehai), LR2 (Xingjian)",Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction)
Q013,What is the primary TCM pattern diagnosis for Alopecia Areata?,The primary pattern is Liver-Blood Deficiency.,"BL18 (Ganshu), GB20 (Fengchi), GV20 (Baihui), BL17 (Geshu)",Shen Ying Yang Zhen Dan (Spirit Response Nourish Vitality Pill)
Q014,What is the primary TCM pattern diagnosis for Melasma?,The primary pattern is Liver-Qi Stagnation with Blood Stasis.,"LR3 (Taichong), SP10 (Xuehai), LI4 (Hegu), ST36 (Zusanli)",Tao Hong Si Wu Tang (Persica & Carthamus Four Substance Decoction)
