id,wellness_issue,patient_question,clinic_answer,tcm_focus_area,professional_acupuncture_points
1,Neck and shoulder pain,My neck and shoulders are always tight and painful. Can acupuncture help?,"Neck and shoulder pain often responds to acupuncture and TCM by improving circulation, relaxing muscles, and reducing inflammation over a course of treatments.",Bi syndrome; Qi and Blood stagnation in channels,"GB20 (Fengchi), GB21 (Jianjing), SI3 (Houxi), BL10 (Tianzhu), LI4 (Hegu), SI11 (Tianzong), Ashi points"
2,Low back pain,I have chronic low back pain from sitting or an old injury. What can you do?,"TCM uses acupuncture, cupping, and sometimes herbal support to reduce pain, improve mobility, and strengthen the lower back over time.",Kidney weakness; channel obstruction; Cold-Damp,"BL23 (Shenshu), BL40 (Weizhong), BL25 (Dachangshu), GV3 (Yaoyangguan), GV4 (Mingmen), KI3 (Taixi), Ashi points"
3,Wellness issue 3,This is a sample patient question about wellness issue 3. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
4,Wellness issue 4,This is a sample patient question about wellness issue 4. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
5,Wellness issue 5,This is a sample patient question about wellness issue 5. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
6,Wellness issue 6,This is a sample patient question about wellness issue 6. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
7,Wellness issue 7,This is a sample patient question about wellness issue 7. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
8,Wellness issue 8,This is a sample patient question about wellness issue 8. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
9,Wellness issue 9,This is a sample patient question about wellness issue 9. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
10,Wellness issue 10,This is a sample patient question about wellness issue 10. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
11,Wellness issue 11,This is a sample patient question about wellness issue 11. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
