question,answer,acupuncture_points,pharmacopeia
What TCM treatment helps chronic constipation in elderly patients?,"Kidney Yin and Yang Deficiency with Blood Deficiency causes dry intestines. Nourish blood, moisten intestines, tonify kidney, gently promote bowel movement.","ST-25 (Tianshu), ST-36 (Zusanli), ST-37 (Shangjuxu), SP-6 (Sanyinjiao), REN-6 (Qihai), TE-6 (Zhigou), KI-3 (Taixi)",Ma Zi Ren Wan (Hemp Seed Pill) plus Zeng Ye Tang (Increase Fluids)
How does TCM treat acid reflux and heartburn?,"Stomach Yin Deficiency with Liver Qi Stagnation causes acid to rise. Cool stomach heat, nourish yin, soothe liver, descend rebellious qi.","PC-6 (Neiguan), REN-12 (Zhongwan), ST-36 (Zusanli), LV-3 (Taichong), LV-14 (Qimen), ST-44 (Neiting)",Yi Guan Jian (Linking Decoction) plus Xiao Yao San (Free and Easy Wanderer)
What acupuncture points relieve bloating and gas?,"Spleen Qi Deficiency with Food Stagnation causes bloating. Tonify spleen, move qi, resolve food stagnation, harmonize middle jiao.","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), LV-3 (Taichong), ST-25 (Tianshu), PC-6 (Neiguan)",Bao He Wan (Preserve Harmony Pill) plus Si Jun Zi Tang (Four Gentlemen)
How to treat chronic diarrhea with TCM?,"Spleen Yang Deficiency with Damp-Heat causes loose stools. Strengthen spleen, warm yang, clear damp-heat, bind intestines.","ST-25 (Tianshu), ST-37 (Shangjuxu), SP-9 (Yinlingquan), ST-36 (Zusanli), REN-6 (Qihai), BL-25 (Dachangshu)","Ge Gen Qin Lian Tang (Kudzu, Scutellaria, Coptis) plus Shen Ling Bai Zhu San"
What helps poor appetite and digestive weakness?,"Spleen and Stomach Qi Deficiency weakens digestion. Tonify middle jiao, strengthen spleen-stomach, restore transformation function.","ST-36 (Zusanli), REN-12 (Zhongwan), SP-6 (Sanyinjiao), BL-20 (Pishu), BL-21 (Weishu), REN-6 (Qihai)",Si Jun Zi Tang (Four Gentlemen) or Xiang Sha Liu Jun Zi Tang
How does TCM address irritable bowel syndrome?,"Liver Qi Invading Spleen causes alternating symptoms. Soothe liver, strengthen spleen, harmonize wood-earth relationship.","LV-3 (Taichong), ST-25 (Tianshu), ST-36 (Zusanli), PC-6 (Neiguan), SP-6 (Sanyinjiao), LV-14 (Qimen)",Tong Xie Yao Fang (Painful Diarrhea Important Formula)
What treats nausea and morning sickness?,"Stomach Qi Rebellious Rising or Spleen Qi Deficiency. Descend stomach qi, harmonize middle jiao, calm shen.","PC-6 (Neiguan), ST-36 (Zusanli), REN-12 (Zhongwan), SP-4 (Gongsun), LV-3 (Taichong)",Xiao Ban Xia Tang (Minor Pinellia) or Xiang Sha Liu Jun Zi Tang
How to treat hemorrhoids with TCM?,"Damp-Heat and Blood Stasis in Lower Jiao. Clear damp-heat, cool blood, move stasis, reduce swelling and pain.","DU-20 (Baihui), BL-57 (Chengshan), SP-6 (Sanyinjiao), LI-11 (Quchi), ST-25 (Tianshu), local points",Huai Jiao Wan (Sophora Fruit Pill) plus Zhi Zhu Wan
What helps chronic gastritis pain?,"Stomach Yin Deficiency or Liver-Stomach Disharmony. Nourish stomach yin, clear heat, soothe liver, stop pain.","REN-12 (Zhongwan), ST-36 (Zusanli), ST-44 (Neiting), PC-6 (Neiguan), LV-3 (Taichong), SP-4 (Gongsun)",Huang Qi Jian Zhong Tang (Astragalus Middle-Fortifying) or Liang Fu Wan
How does TCM treat food allergies and sensitivities?,"Spleen Qi Deficiency with Dampness affecting digestion. Strengthen spleen, resolve dampness, improve tolerance and transformation.","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), SP-9 (Yinlingquan), LI-4 (Hegu)","Shen Ling Bai Zhu San (Ginseng, Poria, Atractylodes)"
