Condition / Diagnosis,Treatment Principle,Primary Acupuncture Points,Treatment Frequency & Duration,Herbal Pharmacopeia Formula,Relevant Body Parts / Figures,Clinical Recommendations & Notes
Headache - Liver Yang Rising,"Subdue Liver Yang, Extinguish Wind, Nourish Liver Yin","GB20, LV3, LI4, Taiyang (EX-HN5), GB8, LV2, KI3","2-3x per week for 4-6 weeks, then weekly maintenance",Tian Ma Gou Teng Yin (天麻钩藤饮),"Head & Face (Front View), Head & Neck (Side View)","Apply gentle pressure to Taiyang, GB20. Avoid scalp needling if severe. Consider auricular points for acute relief."
Migraine with Aura,"Extinguish Wind, Move Blood, Clear Liver-Gallbladder","GB20, LV3, SJ5, GB43, BL2, ST8, GB41, PC6",Acute: daily for 3-5 days; Preventive: 2x per week for 8 weeks,Chuan Xiong Cha Tiao San (川芎茶调散) + Tian Ma Gou Teng Yin (天麻钩藤饮),"Head & Face (Front View), Head & Neck (Side View), Arm (Yang Meridians / Outer View)","Treat during pain-free intervals. Map trigger points. Use distal points (LV3, GB43) for acute phase."
Tension Headache,"Release Tai Yang, Relax muscles, Move Qi and Blood","GB20, Taiyang (EX-HN5), BL10, GV20, LI4, SJ5, GB21",2x per week for 6-8 weeks,Xiao Yao San (逍遥散) if stress-related,"Head & Neck (Side View), Back & Spine (Back View), Arm (Yang Meridians / Outer View)","Add cupping to GB21, upper back. Teach self-massage of Taiyang and GB20."
Lower Back Pain - Kidney Yang Deficiency,"Tonify Kidney Yang, Warm meridians, Strengthen lumbar","BL23, BL52, GV4 (Mingmen), KI3, CV4, BL40, GB34","2-3x per week for 8-10 weeks, with moxa",Jin Gui Shen Qi Wan (金匮肾气丸) or You Gui Wan (右归丸),"Back & Spine (Back View), Leg (Back View), Leg (Inner View - SP/KI/LV)","Apply moxa to BL23, GV4 for 15-20 min. Avoid deep needling in acute phase. Consider TDP lamp."
Lower Back Pain - Blood Stasis,"Invigorate Blood, Remove stasis, Stop pain","BL25, BL40, BL60, GB34, local Ashi points, SP10, LV3",2-3x per week for 6-8 weeks,Shu Jing Huo Xue Tang (舒筋活血汤) or Du Huo Ji Sheng Tang (独活寄生汤),"Back & Spine (Back View), Leg (Back View), Leg (Inner View - SP/KI/LV)",Use cupping and gua sha on Bladder meridian. Avoid excessive manipulation initially.
Neck Pain - Wind-Cold-Damp,"Expel Wind-Cold-Damp, Warm and unblock channels","GB20, BL10, SI3, GV14, GB21, LI4, BL60",Acute: 3x per week for 2 weeks; Chronic: 2x per week for 6 weeks,Ge Gen Tang (葛根汤) or Juan Bi Tang (蠲痹汤),"Head & Neck (Side View), Back & Spine (Back View), Arm (Yang Meridians / Outer View)","Apply moxa or TDP lamp to GB20, GB21. Teach neck exercises post-treatment."
Shoulder Pain (Frozen Shoulder),"Move Qi and Blood, Open channels, Reduce inflammation","LI15, SJ14, SI9, GB21, LI11, LI4, GB34, local Ashi",2-3x per week for 10-12 weeks,Shu Jing Huo Xue Tang (舒筋活血汤),"Arm (Yang Meridians / Outer View), Back & Spine (Back View), Hand (Palm View)",Combine with gentle ROM exercises. Use surrounding points if too tender. Consider electrical stimulation.
Knee Pain - Bi Syndrome,"Dispel Wind-Damp, Strengthen Spleen and Kidney, Nourish Liver","ST35, ST36, SP9, SP10, GB34, local Xiyan (EX-LE5), BL40",2x per week for 8-10 weeks,Du Huo Ji Sheng Tang (独活寄生汤) or Juan Bi Tang (蠲痹汤),"Leg & Thigh (Front View), Leg (Inner View - SP/KI/LV), Leg (Back View)",Avoid needling during acute inflammation. Use surrounding points and moxa. Teach strengthening exercises.
Elbow Pain (Tennis Elbow),"Move local Qi and Blood, Reduce inflammation, Relax tendons","LI11, LI10, SJ5, LI4, local Ashi points, GB34",2x per week for 6-8 weeks,Shu Jing Huo Xue Tang (舒筋活血汤),"Arm (Yang Meridians / Outer View), Hand (Palm View)","Needle around inflamed area, not directly. Consider electro-acupuncture. Advise rest and ice."
Wrist Pain (Carpal Tunnel),"Open channels, Reduce swelling, Move Qi and Blood","PC7, PC6, SJ5, LI4, SI3, local Ashi points",2-3x per week for 8 weeks,Shu Jing Huo Xue Tang (舒筋活血汤),"Arm (Yin Meridians / Inner View), Hand (Palm View), Pulse Point (Wrist Closeup)",Needle proximal and distal to affected area. Teach wrist stretches. Consider splinting at night.
