Question,Answer,Category,Notes
What is LI4 (Hegu) and how is it used?,"LI4 (Hegu) - Union Valley. Location: On the dorsum of the hand, between the 1st and 2nd metacarpal bones, at the midpoint of the 2nd metacarpal bone on the radial side. Depth: 0.5-1 cun perpendicular. Actions: Releases exterior, expels Wind, clears Heat, stops pain, regulates face/head. Master point for face and head. CONTRAINDICATED in pregnancy (can induce labor).",point_reference,Command point
What is LI11 (Quchi) and how is it used?,"LI11 (Quchi) - Pool at the Bend. Location: At the lateral end of the elbow crease when the elbow is flexed at 90 degrees. Depth: 1-1.5 cun perpendicular. Actions: Clears Heat, cools Blood, resolves Dampness, benefits sinews and joints. He-Sea point. Excellent for fever, skin conditions, and arm pain.",point_reference,He-Sea point
What is ST36 (Zusanli) and how is it used?,"ST36 (Zusanli) - Leg Three Miles. Location: 3 cun below ST35 (Dubi), one finger-breadth lateral to the anterior crest of the tibia. Depth: 1-2 cun perpendicular. Actions: Tonifies Qi and Blood, strengthens Spleen and Stomach, supports Wei Qi. The most important point for building overall vitality. He-Sea point of Stomach.",point_reference,Major tonification point
What is ST40 (Fenglong) and how is it used?,"ST40 (Fenglong) - Abundant Bulge. Location: 8 cun above the lateral malleolus, two finger-breadths lateral to the anterior crest of the tibia. Depth: 1-1.5 cun perpendicular. Actions: Resolves Phlegm, calms the mind, clears the chest. Luo-Connecting point. THE master point for transforming Phlegm anywhere in the body.",point_reference,Phlegm master point
What is SP6 (Sanyinjiao) and how is it used?,"SP6 (Sanyinjiao) - Three Yin Intersection. Location: 3 cun above the medial malleolus, on the posterior border of the tibia. Depth: 1-1.5 cun perpendicular. Actions: Tonifies Spleen, resolves Dampness, nourishes Blood and Yin, regulates menstruation. Meeting point of three Yin leg meridians. CONTRAINDICATED in pregnancy.",point_reference,Three Yin meeting
What is SP9 (Yinlingquan) and how is it used?,"SP9 (Yinlingquan) - Yin Mound Spring. Location: In the depression on the lower border of the medial condyle of the tibia, level with the tuberosity. Depth: 1-2 cun perpendicular. Actions: Resolves Dampness, benefits the Lower Jiao, regulates water passages. He-Sea point. Primary point for any Dampness condition.",point_reference,Dampness draining
What is HT7 (Shenmen) and how is it used?,"HT7 (Shenmen) - Spirit Gate. Location: At the wrist crease, on the radial side of the flexor carpi ulnaris tendon, in the depression. Depth: 0.3-0.5 cun perpendicular. Actions: Calms the Shen, nourishes Heart Blood, clears Heart Heat. Yuan-Source and Shu-Stream point. Essential for anxiety, insomnia, palpitations.",point_reference,Shen calming
What is PC6 (Neiguan) and how is it used?,"PC6 (Neiguan) - Inner Pass. Location: 2 cun above the wrist crease, between the tendons of palmaris longus and flexor carpi radialis. Depth: 0.5-1 cun perpendicular. Actions: Opens the chest, regulates Heart Qi, calms the Shen, harmonizes the Stomach. Luo-Connecting point. Master point for nausea and chest oppression.",point_reference,Opens chest
What is LU7 (Lieque) and how is it used?,"LU7 (Lieque) - Broken Sequence. Location: 1.5 cun above the wrist crease, superior to the styloid process of the radius. Depth: 0.3-0.5 cun oblique proximally. Actions: Releases the exterior, expels Wind, opens Lung, benefits head and neck. Luo-Connecting point. Opens Conception Vessel. Paired with KI6.",point_reference,Releases exterior
What is LU9 (Taiyuan) and how is it used?,"LU9 (Taiyuan) - Supreme Abyss. Location: At the wrist crease, in the depression on the radial side of the radial artery. Depth: 0.3-0.5 cun perpendicular (avoid artery). Actions: Tonifies Lung Qi, nourishes Lung Yin, resolves Phlegm. Yuan-Source point. Influential point of Vessels. Excellent for chronic respiratory conditions.",point_reference,Lung Yuan-Source
What is KI3 (Taixi) and how is it used?,"KI3 (Taixi) - Supreme Stream. Location: In the depression between the medial malleolus and the Achilles tendon. Depth: 0.5-1 cun perpendicular. Actions: Tonifies Kidney Yin and Yang, strengthens low back and knees, anchors Qi. Yuan-Source and Shu-Stream point. Primary point for any Kidney deficiency.",point_reference,Kidney tonification
What is KI6 (Zhaohai) and how is it used?,"KI6 (Zhaohai) - Shining Sea. Location: 1 cun below the medial malleolus, in the depression. Depth: 0.3-0.5 cun perpendicular. Actions: Nourishes Kidney Yin, benefits the throat, calms the mind, regulates the Yin Qiao Mai. Paired with LU7. Excellent for dry throat, insomnia, and hot flashes.",point_reference,Yin Qiao opening
What is BL23 (Shenshu) and how is it used?,"BL23 (Shenshu) - Kidney Shu. Location: 1.5 cun lateral to the lower border of L2 spinous process. Depth: 1-1.5 cun perpendicular (caution: kidney depth). Actions: Tonifies Kidney Qi, Yin, and Yang, strengthens the back, benefits bones and marrow. Back-Shu point of Kidney. Essential for any Kidney pattern.",point_reference,Back-Shu Kidney
What is BL40 (Weizhong) and how is it used?,"BL40 (Weizhong) - Bend Middle. Location: Midpoint of the transverse crease of the popliteal fossa. Depth: 0.5-1 cun perpendicular (or prick to bleed). Actions: Clears Heat, cools Blood, benefits low back, relaxes sinews. He-Sea point. Command point for the back. Blood-letting for acute conditions.",point_reference,Back command point
What is BL60 (Kunlun) and how is it used?,"BL60 (Kunlun) - Kunlun Mountains. Location: In the depression between the lateral malleolus and the Achilles tendon. Depth: 0.5-1 cun perpendicular. Actions: Expels Wind, clears Heat, relaxes sinews, removes obstructions from the channel. Jing-River point. Excellent for headache, neck pain, low back pain. CONTRAINDICATED in pregnancy.",point_reference,Jing-River point
What is LV3 (Taichong) and how is it used?,"LV3 (Taichong) - Great Surge. Location: On the dorsum of the foot, in the depression proximal to the 1st metatarsal space. Depth: 0.5-1 cun perpendicular. Actions: Spreads Liver Qi, subdues Liver Yang, nourishes Liver Blood, calms the mind. Yuan-Source and Shu-Stream point. Paired with LI4 as Four Gates.",point_reference,Liver Yuan-Source
What is LV2 (Xingjian) and how is it used?,"LV2 (Xingjian) - Moving Between. Location: On the dorsum of the foot, between the 1st and 2nd toes, proximal to the web margin. Depth: 0.5-0.8 cun oblique. Actions: Clears Liver Fire, cools Blood, benefits the eyes. Ying-Spring point. Best point for clearing excess Liver Fire with headache, red eyes, irritability.",point_reference,Clears Liver Fire
What is GB20 (Fengchi) and how is it used?,"GB20 (Fengchi) - Wind Pool. Location: In the depression between the upper portion of SCM and trapezius, at the level of GV16. Depth: 0.8-1.2 cun toward the opposite eye or tip of nose. Actions: Expels Wind, benefits head and eyes, clears the mind. Essential for headache, dizziness, eye problems, and Wind conditions.",point_reference,Wind expelling
What is GB21 (Jianjing) and how is it used?,"GB21 (Jianjing) - Shoulder Well. Location: Midway between C7 spinous process and the acromion, at the highest point of the shoulder. Depth: 0.3-0.5 cun perpendicular (CAUTION: pneumothorax risk). Actions: Relaxes sinews, benefits the shoulder, promotes labor. CONTRAINDICATED in pregnancy. Meeting point of GB, TE, Yang Wei.",point_reference,Shoulder point
What is GB34 (Yanglingquan) and how is it used?,"GB34 (Yanglingquan) - Yang Mound Spring. Location: In the depression anterior and inferior to the head of the fibula. Depth: 1-1.5 cun perpendicular. Actions: Benefits sinews and joints, spreads Liver Qi, clears Damp-Heat. He-Sea point. Influential point of Sinews. Primary point for any tendon or sinew problem.",point_reference,Sinews influential
What is GV20 (Baihui) and how is it used?,"GV20 (Baihui) - Hundred Meetings. Location: On the midline of the head, 5 cun posterior to the anterior hairline, at the vertex. Depth: 0.5-1 cun transverse posteriorly (or subcutaneously). Actions: Raises Yang, lifts prolapse, benefits the brain, calms the mind. Meeting point of all Yang meridians. Excellent for headache, dizziness, prolapse.",point_reference,Vertex point
What is GV4 (Mingmen) and how is it used?,"GV4 (Mingmen) - Gate of Vitality. Location: On the midline, below the spinous process of L2. Depth: 0.5-1 cun perpendicular. Actions: Tonifies Kidney Yang, warms the Gate of Vitality, strengthens the back. Called the 'Life Gate Fire'. Essential for Kidney Yang deficiency with cold limbs, impotence, chronic diarrhea.",point_reference,Life Gate Fire
What is CV4 (Guanyuan) and how is it used?,"CV4 (Guanyuan) - Origin Pass. Location: On the midline, 3 cun below the umbilicus. Depth: 1-2 cun perpendicular. Actions: Tonifies Kidney and Original Qi, nourishes Blood, benefits the uterus. Front-Mu of Small Intestine. Meeting point with Kidney, Spleen, Liver. Excellent with moxa for deficiency.",point_reference,Original Qi
What is CV6 (Qihai) and how is it used?,"CV6 (Qihai) - Sea of Qi. Location: On the midline, 1.5 cun below the umbilicus. Depth: 1-2 cun perpendicular. Actions: Tonifies Qi and Yang, regulates Qi, resolves Dampness. Called the 'Sea of Qi'. Excellent with moxa for Qi deficiency, fatigue, and weakness. Strengthens the whole body.",point_reference,Sea of Qi
What is CV12 (Zhongwan) and how is it used?,"CV12 (Zhongwan) - Central Venter. Location: On the midline, 4 cun above the umbilicus. Depth: 1-1.5 cun perpendicular (not too deep). Actions: Tonifies Spleen and Stomach, resolves Dampness, regulates Qi. Front-Mu of Stomach. Influential point of Fu organs. Primary point for all digestive disorders.",point_reference,Stomach Front-Mu
What is TE5 (Waiguan) and how is it used?,"TE5 (Waiguan) - Outer Pass. Location: 2 cun above the dorsal wrist crease, between radius and ulna. Depth: 0.5-1 cun perpendicular. Actions: Releases exterior, expels Wind-Heat, benefits the ears, clears Heat. Luo-Connecting point. Opens Yang Wei Mai. Paired with GB41. Excellent for temporal headache, ear problems.",point_reference,Yang Wei opening
What is SI3 (Houxi) and how is it used?,"SI3 (Houxi) - Back Stream. Location: At the end of the transverse crease proximal to the 5th MCP joint, at the ulnar border. Depth: 0.5-1 cun perpendicular. Actions: Benefits the neck and back, clears the mind, treats malaria. Shu-Stream point. Opens Du Mai. Paired with BL62. Excellent for acute neck/back pain.",point_reference,Du Mai opening
What is BL62 (Shenmai) and how is it used?,"BL62 (Shenmai) - Extending Vessel. Location: In the depression directly below the external malleolus. Depth: 0.3-0.5 cun perpendicular. Actions: Benefits the head, calms the mind, relaxes sinews. Opens Yang Qiao Mai. Paired with SI3. Use for epilepsy, insomnia, and stiff neck.",point_reference,Yang Qiao opening
What is Yintang and how is it used?,"Yintang - Hall of Impression (Extra Point). Location: Midway between the medial ends of the eyebrows, at the glabella. Depth: 0.3-0.5 cun transverse downward or pinch and insert. Actions: Calms the mind, benefits the nose, frontal headache. One of the most calming points. Excellent for anxiety, insomnia, and sinus problems.",point_reference,Extra point - calming
What is Taiyang and how is it used?,"Taiyang - Great Yang (Extra Point). Location: In the depression about 1 cun posterior to the midpoint between the lateral end of the eyebrow and the outer canthus. Depth: 0.3-0.5 cun perpendicular or oblique posteriorly. Actions: Expels Wind, clears Heat, benefits the eyes, stops pain. Essential for temporal headache and eye problems.",point_reference,Extra point - temporal
What is Anmian and how is it used?,"Anmian - Peaceful Sleep (Extra Point). Location: Midway between TE17 (Yifeng) and GB20 (Fengchi), in the depression behind the mastoid process. Depth: 0.5-1 cun perpendicular. Actions: Calms the mind, promotes sleep. The specific extra point for insomnia. Use with HT7 and PC6 for Sleep Triad.",point_reference,Extra point - insomnia
