code,name_english,name_pinyin,category,location_note,function_note
LU1,Middle Palace,Zhongfu,Front-Mu of Lung,1st intercostal space 6 cun lateral to midline,Clears Lung heat; regulates Lung Qi
LU2,Cloud Gate,Yunmen,-,Below clavicle 6 cun lateral to midline,Clears Lung heat; disperses fullness in chest
LU3,Heavenly Palace,Tianfu,Window of Heaven,3 cun inferior to axillary fold on biceps,Clears Lung heat; cools blood; calms Corporeal Soul (Po)
LU4,Guarding White,Xiabai,-,4 cun inferior to axillary fold,Regulates Qi and blood; relieves pain
LU5,Cubit Marsh,Chize,He-Sea; Water,Elbow crease radial side of biceps tendon,Clears Heat from Lung; relaxes sinews
LU6,Maximum Opening,Kongzui,Xi-Cleft,7 cun above wrist crease,Acute asthma; stops bleeding (hemoptysis)
LU7,Broken Sequence,Lieque,Luo-Connecting; Command (Head/Neck),1.5 cun above wrist; styloid process,Releases exterior; opens Ren Mai; treats head/neck
LU8,Channel Gutter,Jingqu,Jing-River; Metal,1 cun above wrist crease,Clears Lung heat; treats sore throat
LU9,Great Abyss,Taiyuan,Shu-Stream; Yuan-Source; Earth,Wrist crease radial side of artery,Tonifies Lung Qi/Yin; influences pulse (Hui-Meeting)
LU10,Fish Border,Yuji,Ying-Spring; Fire,Midpoint of 1st metacarpal bone,Clears Lung Heat; benefits throat
LU11,Lesser Shang,Shaoshang,Jing-Well; Wood,Radial corner of thumbnail,Revives consciousness; clears heat (sore throat)
LI1,Merchant Yang,Shangyang,Jing-Well; Metal,Radial corner of index finger nail,Clears heat; revives consciousness
LI2,Second Space,Erjian,Ying-Spring; Water,Distal to 2nd MCP joint (radial),Clears heat; reduces swelling
LI3,Third Space,Sanjian,Shu-Stream; Wood,Proximal to 2nd MCP joint (radial),Expels wind-heat; treats finger pain
LI4,Union Valley,Hegu,Yuan-Source; Command (Face),Midpoint of 2nd metacarpal bone,Releases exterior; stops pain; induces labor (contraindicated pregnancy)
LI5,Yang Stream,Yangxi,Jing-River; Fire,Anatomical snuffbox,Clears heat; calms spirit
LI6,Veering Passage,Pianli,Luo-Connecting,3 cun above LI5,Opens lung water passages; treats edema
