Question,Answer,Points,Pharmacopeia,Pregnancy_Warning
What is the TCM approach to chronic pain?,Chronic pain involves Qi and blood stagnation or deficiency. Treatment moves stagnation nourishes deficiencies and addresses root cause. Local points (Ahshi) plus distal points along affected channels. Pattern differentiation guides formula selection.,"Local Ahshi, distal channel points, ST36, SP6",Xue Fu Zhu Yu Tang for stasis; Bu Zhong Yi Qi Tang for deficiency,Avoid strong blood-movers during pregnancy
What points treat chronic low back pain?,BL23 (Shenshu) tonifies Kidney. BL40 (Weizhong) command point for back. GV4 (Mingmen) for Kidney Yang. BL25 for lumbar. Yaoyan (extra point) for local. BL60 for acute.,"BL23, BL40, GV4, BL25, Yaoyan, BL60",Du Huo Ji Sheng Tang; Shen Tong Zhu Yu Tang,BL60 contraindicated during pregnancy; gentle technique
How to treat chronic neck pain?,GB20 (Fengchi) releases neck tension. GB21 (Jianjing) for shoulder-neck. SI3 (Houxi) for neck stiffness. BL10 (Tianzhu) local. LI4 for pain.,"GB20, GB21, SI3, BL10, LI4",Ge Gen Tang; Jing Fang Bai Du San,GB21 and LI4 contraindicated during pregnancy
What is the treatment for fibromyalgia?,ST36 for Qi. SP6 for blood. BL17 (Geshu) for blood. GV20 for spirit. Local tender points gently. Pattern-based constitutional treatment.,"ST36, SP6, BL17, GV20, tender points",Pattern-based - often blood and Qi deficiency,Safe constitutional support during pregnancy
How to treat chronic shoulder pain?,LI15 (Jianyu) local point. SJ14 (Jianliao) for lateral. SI9 (Jianzhen) for posterior. LI4 and LI11 for channel. GB34 for sinews.,"LI15, SJ14, SI9, LI4, LI11, GB34",Shen Tong Zhu Yu Tang; Juan Bi Tang,LI4 contraindicated during pregnancy
What points help with sciatica?,BL40 (Weizhong) key point for back/leg. GB30 (Huantiao) for hip. GB34 for sinews. BL54 (Zhibian) for sacral. BL60 for acute.,"BL40, GB30, GB34, BL54, BL60",Du Huo Ji Sheng Tang,BL60 contraindicated during pregnancy; gentle sacral technique
How to treat chronic knee pain?,ST35 (Dubi) and Xiyan (extra) local eyes of knee. ST36 below knee. GB34 for sinews. SP9 for medial. Heding (extra) above patella.,"ST35, Xiyan, ST36, GB34, SP9, Heding",Du Huo Ji Sheng Tang; Juan Bi Tang,Safe knee treatment during pregnancy
What is the treatment for chronic headache?,GB20 for occipital/tension. Taiyang for temporal. Yintang for frontal. GV20 for vertex. LI4 for general. Pattern-based distal points.,"GB20, Taiyang, Yintang, GV20, LI4",Pattern-based: Xiao Yao San; Tian Ma Gou Teng Yin,LI4 contraindicated during pregnancy
How to treat migraine with acupuncture?,GB20 (Fengchi) essential. Taiyang for temporal. LR3 for Liver. GB41 with SJ5 for Shaoyang. PC6 for nausea. GV20 for vertex.,"GB20, Taiyang, LR3, GB41, SJ5, PC6, GV20",Xiao Yao San; Tian Ma Gou Teng Yin; Chuan Xiong Cha Tiao San,Safe migraine treatment during pregnancy
What points help with TMJ pain?,ST6 (Jiache) and ST7 (Xiaguan) local. GB34 for muscles. LI4 for face pain. SJ17 (Yifeng) for jaw. LR3 for Liver tension.,"ST6, ST7, GB34, LI4, SJ17, LR3",Xiao Yao San; Tian Ma Gou Teng Yin,LI4 contraindicated during pregnancy
How to treat chronic hip pain?,GB30 (Huantiao) main point for hip. GB29 (Juliao) for lateral hip. GB34 for sinews. BL54 for sacral. ST36 for overall.,"GB30, GB29, GB34, BL54, ST36",Du Huo Ji Sheng Tang,Gentle technique during pregnancy
What is the treatment for plantar fasciitis?,KI1 (Yongquan) for sole. KI3 for Kidney. BL60 for heel. BL57 for calf. Local Ahshi points on sole.,"KI1, KI3, BL60, BL57, Ahshi",Du Huo Ji Sheng Tang topical,BL60 contraindicated during pregnancy
How to treat carpal tunnel syndrome?,PC7 (Daling) and PC6 local for wrist. LI4 for pain. SJ5 (Waiguan) for wrist. HT7 for median nerve. SI3 for ulnar.,"PC7, PC6, LI4, SJ5, HT7, SI3",Shen Tong Zhu Yu Tang,LI4 contraindicated during pregnancy
What points help with tennis elbow?,LI11 (Quchi) local point. LI10 (Shousanli) for forearm. SJ5 for lateral. LI4 for channel. Ahshi at lateral epicondyle.,"LI11, LI10, SJ5, LI4, Ahshi",Shen Tong Zhu Yu Tang; Juan Bi Tang,LI4 contraindicated during pregnancy
How to treat golfer's elbow?,HT3 (Shaohai) for medial elbow. PC3 (Quze) local. PC6 for forearm. LI4 for pain. Ahshi at medial epicondyle.,"HT3, PC3, PC6, LI4, Ahshi",Shen Tong Zhu Yu Tang,LI4 contraindicated during pregnancy
What is the treatment for frozen shoulder?,LI15 (Jianyu) local. SJ14 for mobility. SI9 for posterior. GB34 for sinews. LI4 and LI11 for channel. Moxa helpful.,"LI15, SJ14, SI9, GB34, LI4, LI11",Juan Bi Tang; Shen Tong Zhu Yu Tang,LI4 contraindicated during pregnancy
How to treat chronic wrist pain?,PC7 (Daling) and SJ4 (Yangchi) for wrist. LI5 (Yangxi) for radial. SI5 for ulnar. LI4 for pain. Local Ahshi.,"PC7, SJ4, LI5, SI5, LI4, Ahshi",Shen Tong Zhu Yu Tang,LI4 contraindicated during pregnancy
What points help with chronic ankle pain?,ST41 (Jiexi) for anterior. GB40 (Qiuxu) for lateral. SP5 for medial. KI3 for medial. BL60 for posterior. Local Ahshi.,"ST41, GB40, SP5, KI3, BL60, Ahshi",Du Huo Ji Sheng Tang,BL60 contraindicated during pregnancy
How to treat thoracic back pain?,BL11-BL21 along thoracic spine based on level. Huatuojiaji points lateral to spine. GB21 for upper thoracic. BL17 for mid-back.,"BL thoracic points, Huatuojiaji, GB21, BL17",Shen Tong Zhu Yu Tang; Du Huo Ji Sheng Tang,GB21 contraindicated during pregnancy
What is the treatment for costochondritis?,CV17 (Shanzhong) for chest. PC6 for chest. LR14 for ribs. GB24 for lateral. Local Ahshi at affected rib junction.,"CV17, PC6, LR14, GB24, Ahshi",Chai Hu Shu Gan San; Xue Fu Zhu Yu Tang,Avoid strong blood-movers during pregnancy
How to treat sacroiliac joint pain?,BL27 (Xiaochangshu) and BL28 for SI region. BL32 (Ciliao) for sacral. GB30 for hip. BL54 for gluteal. Ahshi locally.,"BL27, BL28, BL32, GB30, BL54",Du Huo Ji Sheng Tang,Gentle sacral technique during pregnancy
What points help with chronic foot pain?,KI1 for sole. KI3 for ankle/foot. ST44 for dorsum. SP4 for arch. BL60 for heel. Local Ahshi.,"KI1, KI3, ST44, SP4, BL60, Ahshi",Du Huo Ji Sheng Tang,BL60 contraindicated during pregnancy
How to treat chronic elbow pain?,LI11 (Quchi) for lateral. HT3 for medial. PC3 for anterior. SJ10 (Tianjing) for posterior. LI4 for channel.,"LI11, HT3, PC3, SJ10, LI4",Shen Tong Zhu Yu Tang,LI4 contraindicated during pregnancy
What is the treatment for De Quervain's tenosynovitis?,LI5 (Yangxi) local for thumb side. SJ4 for wrist. LI4 for channel. Local Ahshi at radial styloid.,"LI5, SJ4, LI4, Ahshi",Shen Tong Zhu Yu Tang,LI4 contraindicated during pregnancy
How to treat trigger finger?,Local points at affected finger joint. LI4 for hand. SJ3 (Zhongzhu) for fingers. SI3 for hand. Baxie (extra) between fingers.,"Local points, LI4, SJ3, SI3, Baxie",Shen Tong Zhu Yu Tang,LI4 contraindicated during pregnancy
