Question,Answer,Category,Notes
How do I treat pain that hasn't moved in 5 weeks?,"Diagnosis: Blood Stasis. Strategy: Stop chasing the pain location; break stasis aggressively. Points: BL17, SP10, Ashi points (bloodletting). Formula: Xue Fu Zhu Yu Tang (Drive Out Stasis in the Mansion of Blood).",clinical_scenarios,Blood stasis
What if patient feels exhausted after treatment?,"Diagnosis: Qi Deficiency or Healing Crisis. Strategy: Switch to 100% tonification approach with moxa. Points: ST36 with moxa, CV6, CV4. Formula: Bu Zhong Yi Qi Tang (Tonify the Middle and Augment Qi).",clinical_scenarios,Treatment reaction
What if anxiety is unchanged after treatment?,"Diagnosis: Shen Disturbance with rising Yang. Strategy: Switch from calming to 'anchoring' the rising Yang. Points: GV24, Yintang, PC6, KD1. Formula: Chai Hu Long Gu Mu Li Tang.",clinical_scenarios,Mental health
How do I treat pain that moves around constantly?,"Diagnosis: Wind Bi Syndrome. Strategy: Treat 'Wind' pathogen, not just the muscle. Points: GB20, BL12, LI4, SJ5. Formula: Juan Bi Tang (Remove Painful Obstruction Decoction).",clinical_scenarios,Bi syndrome
What if patient is doing everything right but not healing?,"Diagnosis: Phlegm-Damp blockage (Latent Pathogen). Strategy: Resolve the invisible phlegm that's blocking healing. Points: ST40, SP9, CV12. Formula: Er Chen Tang (Two Cured Decoction).",clinical_scenarios,Treatment resistance
What if patient feels cold since starting treatment?,"Diagnosis: Kidney Yang Deficiency. Strategy: Warm the core and stop leaking Qi. Points: GV4 with moxa, BL23, KD7. Formula: Jin Gui Shen Qi Wan (Kidney Qi Pill).",clinical_scenarios,Yang deficiency
What if patient is angry about doctor calling acupuncture placebo?,"Diagnosis: Liver Qi Stagnation blocking healing. Strategy: Smooth the Liver first before addressing the main complaint. Points: LV3, LI4, GB34. Formula: Xiao Yao San (Free and Easy Wanderer).",clinical_scenarios,Emotional block
What if digestion is still bloated after treatment?,"Diagnosis: Spleen Dampness. Strategy: Dry dampness so treatment can 'stick' and take effect. Points: SP9, ST36, CV12. Formula: Shen Ling Bai Zhu San.",clinical_scenarios,Digestive
What does waking up at 3 AM indicate?,"Diagnosis: Liver Time awakening (1-3 AM is Liver time). Strategy: Clear Liver Fire or Heat disturbing sleep. Points: LV2, HT7, KD6. Formula: Long Dan Xie Gan Tang.",clinical_scenarios,Sleep disorder
What if skin condition is flaring up during treatment?,"Diagnosis: Venting phase - Heat leaving the blood through the skin. Strategy: This can be positive; cool the Blood to support the process. Points: LI11, SP10, BL40. Formula: Xiao Feng San.",clinical_scenarios,Healing crisis
What if headache is worse after acupuncture?,"Diagnosis: Yang Rising - energy pushed up but not anchored down. Strategy: Descend the Qi and anchor Yang. Points: KD1, LV3, GB20. Formula: Tian Ma Gou Teng Yin.",clinical_scenarios,Treatment reaction
What if patient feels like crying during sessions?,"Diagnosis: Release of held emotion (Po/Hun liberation). Strategy: Normalize this emotional release as part of healing. Points: HT7, LU9, GV20. Formula: Gan Mai Da Zao Tang.",clinical_scenarios,Emotional release
What if period is heavier after treatment?,"Diagnosis: Blood invigorated (possibly too much) or Stasis clearing. Strategy: Regulate menses and monitor. Points: SP1, SP6, CV4. Formula: Gui Pi Tang.",clinical_scenarios,Menstrual
What if patient has dry mouth/thirst now?,"Diagnosis: Yin damaged or Heat generated by treatment. Strategy: Nourish fluids and Yin. Points: KD6, LU9, SP6. Formula: Sha Shen Mai Men Dong Tang.",clinical_scenarios,Yin damage
What if back pain is better but knees hurt now?,"Diagnosis: Pathogen migration - disease moving to new location. Strategy: Chase the pain down and out of the body. Points: BL40, BL60, GB34. Formula: Du Huo Ji Sheng Tang.",clinical_scenarios,Pain migration
What if patient feels spaced out or ungrounded?,"Diagnosis: Qi not returning to root. Strategy: Anchor the Shen and ground the patient. Points: KD1, ST36, SP6. Formula: Gui Pi Tang.",clinical_scenarios,Shen disturbance
What if patient has no appetite since treatment?,"Diagnosis: Stomach Qi rebelling or weak. Strategy: Harmonize the Middle Jiao. Points: PC6, ST36, CV12. Formula: Bao He Wan.",clinical_scenarios,Digestive
What if patient is getting palpitations?,"Diagnosis: Heart Qi/Blood Deficiency or Fright affecting Heart. Strategy: Calm Shen and tonify Heart. Points: HT7, PC6, BL15. Formula: Tian Wang Bu Xin Dan.",clinical_scenarios,Heart
What if libido has dropped to zero?,"Diagnosis: Kidney Yang/Essence depletion. Strategy: Restore Kidney Essence and warm Yang. Points: CV4, BL23, KD3. Formula: You Gui Wan (Restore the Right Kidney Pill).",clinical_scenarios,Kidney yang
What if patient feels heat in palms and feet?,"Diagnosis: Yin Deficiency Heat (Five Palm Heat). Strategy: Clear empty heat and nourish Yin. Points: KD2, HT6, PC8. Formula: Zhi Bai Di Huang Wan.",clinical_scenarios,Yin deficiency
What if patient is still constipated?,"Diagnosis: Dryness in Intestines or Qi Stagnation. Strategy: Moisten and move the bowels. Points: ST25, SJ6, KD6. Formula: Ma Zi Ren Wan (Hemp Seed Pill).",clinical_scenarios,Constipation
What if patient has diarrhea after session?,"Diagnosis: Spleen Yang Deficiency or clearing of dampness. Strategy: Warm the Spleen. Points: ST36, SP9, ST25 with moxa. Formula: Li Zhong Wan.",clinical_scenarios,Digestive
What if tinnitus is louder after treatment?,"Diagnosis: Liver Yang Rising or Kidney Deficiency (distinguish by pitch - high=excess, low=deficiency). Strategy: Subdue Yang or tonify Kidney. Points: SJ17, GB2, KD3. Formula: Liu Wei Di Huang Wan.",clinical_scenarios,Ear disorder
What if patient feels a lump in throat?,"Diagnosis: Plum Pit Qi (Mei He Qi) - Liver Qi Stagnation with Phlegm. Strategy: Resolve the Phlegm-Qi bind. Points: CV22, PC6, LV3. Formula: Ban Xia Hou Po Tang.",clinical_scenarios,Throat
What if patient has restless legs at night?,"Diagnosis: Liver Blood Deficiency generating internal Wind. Strategy: Nourish Liver Blood to calm Wind. Points: SP10, BL17, GB31. Formula: Shao Yao Gan Cao Tang.",clinical_scenarios,Blood deficiency
What if patient has frequent urination now?,"Diagnosis: Kidney Qi not grasping/consolidating. Strategy: Tonify Kidney to consolidate. Points: CV3, CV4, KD3. Formula: Suo Quan Wan (Shut the Sluice Pill).",clinical_scenarios,Urinary
What if patient has shortness of breath?,"Diagnosis: Lung/Kidney failure to grasp Qi. Strategy: Tonify Lung and Kidney to anchor Qi. Points: LU9, KD6, CV17. Formula: Sheng Mai San.",clinical_scenarios,Respiratory
What if patient's hands are numb?,"Diagnosis: Blood Deficiency with Wind in channels. Strategy: Nourish Blood and open channels. Points: SI3, LI4, Baxie. Formula: Huang Qi Gui Zhi Wu Wu Tang.",clinical_scenarios,Numbness
What if patient has dizziness upon standing?,"Diagnosis: Blood and Qi Deficiency causing orthostatic symptoms. Strategy: Raise Clear Yang. Points: GV20, ST36, SP6. Formula: Bu Zhong Yi Qi Tang.",clinical_scenarios,Dizziness
What if patient is sweating profusely?,"Diagnosis: Wei Qi Deficiency with open pores. Strategy: Stabilize the Exterior. Points: LI4, KD7, LU9. Formula: Yu Ping Feng San (Jade Screen Powder).",clinical_scenarios,Sweating
What if patient has night sweats?,"Diagnosis: Yin Deficiency Fire forcing fluids out. Strategy: Clear Heat and nourish Yin. Points: HT6, SI3, KD7. Formula: Dang Gui Liu Huang Tang.",clinical_scenarios,Night sweats
What if patient's joints are swollen and heavy?,"Diagnosis: Damp-Bi Syndrome. Strategy: Resolve Dampness from the joints. Points: SP9, ST40, local points. Formula: Yi Yi Ren Tang.",clinical_scenarios,Bi syndrome
What if patient has shooting electric pain?,"Diagnosis: Nerve impingement with channel stagnation. Strategy: Open the orifices and channels strongly. Points: Jingbi, GB30, BL40. Formula: Xiao Huo Luo Dan.",clinical_scenarios,Nerve pain
What if patient feels heavy body sensation?,"Diagnosis: Dampness accumulation. Strategy: Drain dampness aggressively. Points: SP9, CV12, ST8. Formula: Huo Xiang Zheng Qi San.",clinical_scenarios,Dampness
What if patient can't fall asleep with racing mind?,"Diagnosis: Spleen/Heart Blood Deficiency failing to anchor Shen. Strategy: Nourish Heart Blood. Points: HT7, SP6, Anmian. Formula: Gui Pi Tang.",clinical_scenarios,Insomnia
What if patient can't stay asleep and wakes early?,"Diagnosis: Kidney/Liver Yin Deficiency. Strategy: Nourish Yin to anchor sleep. Points: KD3, KD6, HT7. Formula: Suan Zao Ren Tang.",clinical_scenarios,Insomnia
What if patient has bad breath since treatment?,"Diagnosis: Stomach Fire clearing through the mouth. Strategy: Clear Stomach Heat. Points: ST44, LI11, PC7. Formula: Qing Wei San.",clinical_scenarios,Digestive heat
What if eye floaters have increased?,"Diagnosis: Liver Blood/Yin Deficiency affecting eyes. Strategy: Nourish Liver Blood and benefit eyes. Points: LV8, GB37, BL18. Formula: Qi Ju Di Huang Wan.",clinical_scenarios,Eye disorder
What if patient is grinding teeth at night?,"Diagnosis: Stomach Heat or Liver Wind. Strategy: Clear Heat from Stomach. Points: ST44, ST6, ST7. Formula: Tiao Wei Cheng Qi Tang.",clinical_scenarios,Bruxism
What if patient is craving sugar intensely?,"Diagnosis: Spleen Qi Deficiency signal - body seeking quick energy. Strategy: Tonify Spleen properly. Points: SP3, ST36, CV12. Formula: Si Jun Zi Tang.",clinical_scenarios,Spleen deficiency
What if patient is craving salt?,"Diagnosis: Kidney Deficiency signal. Strategy: Tonify Kidney. Points: KD3, BL23. Formula: Liu Wei Di Huang Wan.",clinical_scenarios,Kidney deficiency
What if patient's voice is weak or hoarse?,"Diagnosis: Lung Qi/Yin Deficiency. Strategy: Moisten and tonify Lungs. Points: LU9, LU7, KD6. Formula: Bai He Gu Jin Tang.",clinical_scenarios,Lung deficiency
What if patient feels stuck in life emotionally?,"Diagnosis: Liver Qi Constraint affecting Hun (ethereal soul). Strategy: Move Qi for emotional flow and vision. Points: LV3, GB34, GB40. Formula: Yue Ju Wan.",clinical_scenarios,Emotional
What if patient has panic attacks?,"Diagnosis: Heart Qi Deficiency or Phlegm Misting the Heart. Strategy: Calm Spirit and clear Phlegm. Points: PC6, HT7, CV17. Formula: Chai Hu Jia Long Gu Mu Li Tang.",clinical_scenarios,Anxiety
What if patient has brain fog?,"Diagnosis: Dampness clouding the clear orifices. Strategy: Resolve Dampness and Phlegm from head. Points: ST40, GV20, SP9. Formula: Ban Xia Bai Zhu Tian Ma Tang.",clinical_scenarios,Cognitive
What if patient has cold hands and feet?,"Diagnosis: Liver Qi Stagnation (Four Gates blocked) or Yang Deficiency. Strategy: Open the flow or warm Yang. Points: LI4, LV3, ST36. Formula: Si Ni San.",clinical_scenarios,Cold extremities
What if patient has hot flashes?,"Diagnosis: Kidney Yin Deficiency with Empty Heat rising. Strategy: Clear Heat and nourish Yin. Points: KD6, SP6, HT6. Formula: Er Xian Tang.",clinical_scenarios,Menopause
What if patient feels emotionally fragile?,"Diagnosis: Lung Qi Deficiency (Po weak) or Heart Deficiency. Strategy: Strengthen the emotional boundary. Points: BL13, LU9, CV17. Formula: Yu Ping Feng San.",clinical_scenarios,Emotional
What if patient is bruising easily?,"Diagnosis: Spleen Qi not holding Blood in vessels. Strategy: Tonify Spleen to control Blood. Points: SP1, SP10, ST36. Formula: Gui Pi Tang.",clinical_scenarios,Blood disorder
What if patient has acid reflux?,"Diagnosis: Stomach Qi rebelling upward. Strategy: Descend Stomach Qi. Points: CV12, PC6, ST36. Formula: Ban Xia Xie Xin Tang.",clinical_scenarios,Digestive
What if hiccups won't stop?,"Diagnosis: Stomach Qi Rebellious. Strategy: Strongly descend Qi. Points: BL17, CV12, PC6. Formula: Ding Xiang Shi Di Tang.",clinical_scenarios,Stomach qi
What if shoulder tension returns immediately after treatment?,"Diagnosis: Stress and Liver Qi driving the tension. Strategy: Treat the stress pattern, not just the muscle. Points: GB21, LV3, SJ5. Formula: Xiao Yao San.",clinical_scenarios,Musculoskeletal
What if sciatica is not improving?,"Diagnosis: Gallbladder channel deep obstruction. Strategy: Open the channel at depth. Points: GB30 (deep needling), GB34, BL60. Formula: Du Huo Ji Sheng Tang.",clinical_scenarios,Sciatica
What if plantar fasciitis persists?,"Diagnosis: Kidney Deficiency (heel is Kidney territory). Strategy: Nourish Kidney, not just local treatment. Points: KD3, KD1, BL60. Formula: Liu Wei Di Huang Wan.",clinical_scenarios,Foot pain
How do I treat TMJ pain?,"Diagnosis: Stomach/Gallbladder channel tension at jaw. Strategy: Mix local and distal points. Points: ST6, ST7, LI4, GB2 (Tinghui). Formula: Consider stress pattern.",clinical_scenarios,TMJ
How do I treat carpal tunnel syndrome?,"Diagnosis: Tendon issues (Liver) with Damp or Wind in channels. Strategy: Nourish tendons and open channels. Points: PC7, TW4, LV3. Formula: Huang Qi Gui Zhi Wu Wu Tang.",clinical_scenarios,Upper extremity
How do I treat stabbing menstrual cramps?,"Diagnosis: Blood Stagnation (stabbing = stasis). Strategy: Move Blood vigorously before and during menses. Points: SP8, LI4, CV3. Formula: Tao Hong Si Wu Tang.",clinical_scenarios,Menstrual
How do I treat dull aching menstrual cramps?,"Diagnosis: Blood and Qi Deficiency. Strategy: Warm and tonify. Points: CV4, ST36, SP6. Formula: Ba Zhen Tang (Eight Treasure Decoction).",clinical_scenarios,Menstrual
How do I treat PMS mood swings?,"Diagnosis: Liver Qi Stagnation. Strategy: Smooth Liver before menses. Points: LV3, PC6, GB34. Formula: Jia Wei Xiao Yao San (Augmented Free and Easy).",clinical_scenarios,Menstrual
How do I treat amenorrhea (no period)?,"Diagnosis: Blood Deficiency or Stagnation. Strategy: Nourish and/or move Blood depending on pattern. Points: ST29, SP6, BL17. Formula: Tao Hong Si Wu Tang.",clinical_scenarios,Menstrual
How do I treat infertility frustration?,"Diagnosis: Kidney Essence/Yang Deficiency or Cold Uterus. Strategy: Warm the Womb and nourish Essence. Points: CV4, Zigong (extra), KD3. Formula: Yu Lin Zhu (Unicorn Pearl).",clinical_scenarios,Fertility
How do I treat morning sickness?,"Diagnosis: Stomach Qi rebelling or Chong vessel disharmony. Strategy: Harmonize Stomach and Chong. Points: PC6, ST36, KD21. Formula: Xiang Sha Liu Jun Zi Tang.",clinical_scenarios,Pregnancy
