id,condition,tcm_pattern,patient_qa_concern,therapist_strategy_deep_thinking,tcm_points,pharmacopeia
1,GERD (Fire),Stomach Fire,"Patient: 'I have burning acid reflux, bleeding gums, and am always thirsty.'","Strategy: Stomach Fire is flaring upward. We must Clear Fire and Direct Qi Downward. Use cooling herbs.","ST44, PC6, CV12",Qing Wei San
2,GERD (Stress),Liver Invading Stomach,"Patient: 'I only get reflux when I'm angry or stressed. Bitter taste.'","Strategy: The Liver (Wood) is pushing sideways into the Stomach (Earth). Clear Liver Heat to save the Stomach.","LV3, ST36, GB34",Zuo Jin Wan
3,GERD (Cold),Cold-Damp in Stomach,"Patient: 'I burp up clear watery fluid, and my stomach feels cold.'","Strategy: This is NOT acid excess; it is fermentation from lack of heat. Do not use antacids (cold). Warm the stomach.","CV12, ST36, PC6 (Moxa)",Wu Zhu Yu Tang
4,Chronic Gastritis,Stomach Yin Deficiency,"Patient: 'Dull burning ache, dry mouth, no appetite. My tongue is peeled.'","Strategy: The stomach lining (Yin) is dried out. We must 'Generate Fluids'. Avoid spicy/drying foods.","ST36, SP6, CV12",Yi Wei Tang
5,Chronic Gastritis,Spleen/Stomach Qi Def,"Patient: 'Dull ache that feels better when I press on it. Tired.'","Strategy: Deficiency pain likes pressure. The Stomach needs tonification, not clearing.","ST36, CV6, BL21",Xiang Sha Liu Jun Zi Tang
6,Peptic Ulcer (Bleeding),Stomach Blood Stasis,"Patient: 'Stabbing sharp pain in one spot. My stool is black/tarry.'","Strategy: Sharp fixed pain = Stasis. Black stool = Old bleeding. We must Stop Bleeding and Heal Tissue.","ST34, BL17, SP10",Shi Xiao San
7,Peptic Ulcer (Cold),Stomach Cold Deficient,"Patient: 'The pain goes away when I eat or use a heating pad.'","Strategy: The cold is preventing healing. Warmth promotes circulation to the ulcer site.","CV12, ST36, BL20",Huang Qi Jian Zhong Tang
8,Hiccups (Intractable),Stomach Qi Rebellion,"Patient: 'I have been hiccuping for 2 days non-stop.'","Strategy: The Stomach Qi is rushing up instead of down. We must strongly Descend Qi and relax the diaphragm.","CV17, PC6, BL17",Ding Xiang Shi Di Tang
9,Nausea/Vomiting,Turbid Phlegm Obstructing,"Patient: 'I feel dizzy, nauseous, and have a greasy taste in my mouth.'","Strategy: Phlegm is blocking the middle. The stomach cannot descend. We must Resolve Phlegm to settle the stomach.","PC6, ST40, CV12",Wen Dan Tang
10,Anorexia (Adult),Spleen Qi Deficiency,"Patient: 'I have zero desire to eat. I get full after two bites.'","Strategy: The Spleen is asleep. We must 'Wake Up' the Spleen gently. Heavy tonics will clog it further.","SP3, ST36, CV12",Si Jun Zi Tang
11,Anorexia (Child),Food Stagnation,"Patient: 'My child won't eat, has a swollen belly, and bad breath.'","Strategy: The child is full of old food. Do not force feed. Clear the Stagnation first.","Sifeng (Prick), ST36",Bao He Wan
12,Stomach Cramps,Cold invading Stomach,"Patient: 'Sudden severe cramping pain after eating ice cream/cold wind.'","Strategy: Cold contracts the stomach muscles. We need immediate Heat (Moxa) to relax the spasm.","ST34, CV12, ST21",Liang Fu Wan
13,Belching (Excessive),Liver Qi Stagnation,"Patient: 'I burp loud and long, and it makes me feel relieved.'","Strategy: The burping is a release of pressure (Qi Stagnation). Smooth the Qi mechanism.","LV3, PC6, CV17",Yue Ju Wan
14,Indigestion (Functional),Food Stagnation,"Patient: 'Food feels like a rock. I hate the smell of food.'","Strategy: Use enzymatic herbs (Hawthorn, Malt) to mechanically break down the food mass.","ST36, CV12, Linqi",Bao He Wan
15,Morning Sickness,Chong Meridian Rebellion,"Patient: 'I am pregnant and vomit every morning.'","Strategy: The Chong Mai is destabilizing the Stomach. Harmonize the vessels gently (protect the fetus).","PC6, KI21, ST36",Xiang Sha Liu Jun Zi Tang
16,Motion Sickness,Phlegm-Damp Dizziness,"Patient: 'I get sick in cars/boats easily.'","Strategy: Phlegm in the inner ear/stomach vibrates with motion. Stabilize the stomach before travel.","PC6, ST40, SJ5",Huo Xiang Zheng Qi San
17,H. Pylori Support,Damp-Heat Toxin,"Patient: 'I have the stomach bacteria H. Pylori.'","Strategy: This is a 'Toxic Damp-Heat' pathogen. We need herbs with antibiotic properties (Huang Lian).","ST44, LI11, SP9",Huang Lian Jie Du Tang
18,Dysphagia (Swallowing),Plum Pit Qi / Phlegm,"Patient: 'Food feels stuck in my throat when I swallow.'","Strategy: If structural issues are ruled out, this is Phlegm-Qi blocking the esophagus.","CV22, PC6, LV3",Ban Xia Hou Po Tang
19,Stomach Flu (Viral),Damp-Cold Invasion,"Patient: 'Vomiting and diarrhea suddenly, chills.'","Strategy: External Damp-Cold has invaded. We must release the exterior and transform dampness.","ST25, PC6, LU7",Huo Xiang Zheng Qi San
20,Hunger Pangs (False),Stomach Heat,"Patient: 'I feel hungry all the time but lose appetite when I eat.'","Strategy: Stomach Heat mimics hunger (burns food fast), but the Spleen is weak.","ST44, ST36, CV12",Yu Nu Jian
21,Bad Breath (Halitosis),Stomach Fire,"Patient: 'My breath smells foul/hot.'","Strategy: Heat is rotting fluid in the stomach. We must drain the Fire downward.","ST44, PC7, LI4",Qing Wei San
22,Abdominal Pain (Umbilical),Cold Accumulation,"Patient: 'Pain around the belly button, very cold.'","Strategy: The umbilicus is the 'Shenque'. Cold here stops all circulation. Salt Moxa is best.","CV8 (Salt Moxa), ST25",Li Zhong Wan
23,Rebound Tenderness,Blood Stasis/Appendicitis,"Patient: 'Sharp pain in lower right abdomen, hurts when you let go.'","Strategy: This indicates severe Stasis/Infection (Appendicitis). Refer to ER. Treat Stasis/Heat if chronic.","Lanweixue, ST36",Da Huang Mu Dan Tang
