id,condition,tcm_pattern,patient_qa_concern,therapist_strategy_deep_thinking,tcm_points,pharmacopeia
1,Gallstones (Acute),Damp-Heat in Gallbladder,"Patient: 'Sharp pain in my right ribs radiating to the shoulder, nausea.'","Strategy: Stones are 'cooked' dampness. We must clear Heat and promote bile flow to flush the duct. (Refer if fever is high).","GB34, Dannangxue, LV3, LI11",Da Chai Hu Tang
2,Gallstones (Chronic),Liver Qi Stagnation,"Patient: 'Dull ache in my side, bloating, especially after fatty meals.'","Strategy: The bile is thick/stagnant (Qi Stagnation). We must keep bile flowing to prevent stone growth.","LV14, GB34, SJ6",Xiao Chai Hu Tang
3,Cholecystitis,GB Damp-Heat + Fire,"Patient: 'Severe pain, bitter taste in mouth, feverish.'","Strategy: This is an active infection/inflammation. We must drain Fire specifically from the GB channel.","GB24, GB34, LV2, Dannangxue",Long Dan Xie Gan Tang
4,Fatty Liver (Phlegm),Phlegm-Damp Stagnation,"Patient: 'I feel heavy, tired, and my doctor says my liver enzymes are up.'","Strategy: Fat is 'Phlegm' in TCM. We must Resolve Phlegm and mobilize fat metabolism (Transform Damp).","ST40, SP9, LV3, CV12",Er Chen Tang + Ze Xie
5,Fatty Liver (Stasis),Qi/Blood Stagnation,"Patient: 'I have a stabbing pain in my liver area and spider veins.'","Strategy: The fatty accumulation has stopped blood flow. We must Invigorate Blood to restore liver circulation.","LV3, BL18, SP10, BL17",Xue Fu Zhu Yu Tang
6,Hepatitis (Acute),Toxic Heat/Damp-Heat,"Patient: 'My eyes are yellow (Jaundice) and I hate the smell of grease.'","Strategy: Damp-Heat is steaming the Liver. We must 'Clear Jaundice' (Yin Chen) and detoxify the organ.","LV3, GB34, SP9, DU9",Yin Chen Hao Tang
7,Hepatitis (Chronic),Liver/Kidney Yin Def,"Patient: 'Dull rib pain, dry eyes, night sweats, fatigue.'","Strategy: The virus/condition has burned up the Liver Yin. We must nourish the 'soft' aspect of the Liver.","LV8, KD3, BL18, BL23",Yi Guan Jian
8,Cirrhosis (Early),Blood Stasis & Yin Def,"Patient: 'My palms are red, skin is dry, and my liver feels hard.'","Strategy: The Liver is turning to 'stone' (Stasis). We must soften the hardness (turtle shell) and break stasis.","BL17, SP10, LV8, SP6",Ge Xia Zhu Yu Tang
9,Cirrhosis (Ascites),Yang Deficiency + Water,"Patient: 'My belly is swelling with fluid (water), but I am cold.'","Strategy: The Spleen/Kidney pumps failed; water is overflowing. We must Warm Yang to transform the water.","CV9, SP9, KD7, BL20",Zhen Wu Tang
10,Liver Fibrosis,Phlegm-Blood Stagnation,"Patient: 'Scar tissue is forming in my liver.'","Strategy: Fibrosis is 'Phlegm-Blood Stagnation'. We need salty herbs to 'soften hardness' and dissipate nodules.","ST40, BL17, LV3",Bie Jia Jian Wan
