Question,Answer,Points,Pharmacopeia,Pregnancy_Warning
What does a floating pulse indicate?,A floating pulse is felt with light pressure and weakens with deep pressure. It indicates an exterior pattern - the body's Wei Qi is fighting a pathogenic factor at the surface. If floating and forceful it indicates excess; if floating and weak it indicates blood or Yin deficiency.,"LU7, LI4, GB20, BL12 for exterior; SP6, ST36 for deficiency",Ma Huang Tang or Gui Zhi Tang for exterior; Si Wu Tang for blood deficiency,LI4 contraindicated during pregnancy - use alternatives
What does a deep pulse indicate?,A deep pulse is only felt with heavy pressure. It indicates an interior pattern - the pathogenic factor has entered the interior or there is Yang deficiency. Deep and forceful indicates interior excess; deep and weak indicates interior deficiency.,"CV4, ST36, BL23 for deficiency; LI11, ST44 for interior heat",Pattern dependent based on force,Treat underlying pattern carefully during pregnancy
What does a slow pulse indicate?,A slow pulse is less than 60 beats per minute. It indicates cold - either internal cold from Yang deficiency or external cold invasion. If slow and forceful it may indicate cold accumulation; slow and weak indicates Yang deficiency.,"CV4, GV4, ST36, BL23 with moxa",Li Zhong Wan for cold; Jin Gui Shen Qi Wan for Yang deficiency,Warming formulas with care during pregnancy
What does a rapid pulse indicate?,A rapid pulse is more than 90 beats per minute. It indicates heat - either excess heat or deficiency heat (Yin deficiency). Rapid and forceful suggests excess heat; rapid and thin suggests Yin deficiency with empty heat.,"LI11, GV14 for excess heat; KI3, KI6 for Yin deficiency",Huang Lian Jie Du Tang for excess; Liu Wei Di Huang Wan for deficiency,Avoid strong heat-clearing herbs during pregnancy
What does a wiry pulse indicate?,A wiry pulse feels like a guitar string - taut and straight. It indicates Liver Qi stagnation Liver Yang rising or pain. Common in emotional stress Liver disorders and any pain condition.,"LR3, GB34, PC6, GV20",Xiao Yao San; Chai Hu Shu Gan San,Safe formula modifications during pregnancy
What does a slippery pulse indicate?,A slippery pulse feels smooth and round like pearls rolling on a plate. It indicates phlegm dampness food stagnation or pregnancy. In the context of fertility or missed period this pulse suggests pregnancy.,"ST40, SP9, CV12 for phlegm; ST36, SP6 for pregnancy",Er Chen Tang for phlegm,PREGNANCY PULSE - investigate if amenorrhea
What does a choppy pulse indicate?,A choppy pulse is rough uneven and slow - the opposite of slippery. It indicates blood stasis blood deficiency or Jing deficiency. Often felt in chronic pain or after blood loss.,"SP10, SP6, LR3, BL17",Xue Fu Zhu Yu Tang for stasis; Si Wu Tang for deficiency,Avoid blood-moving formulas during pregnancy
What does a thin pulse indicate?,A thin pulse is narrow like a fine thread. It indicates blood deficiency or Yin deficiency. The body lacks sufficient blood or fluids to fill the vessels.,"SP6, ST36, BL17, KI3",Si Wu Tang; Liu Wei Di Huang Wan,Safe to tonify blood during pregnancy
What does a full pulse indicate?,A full pulse is broad and felt at all three levels (superficial middle deep). It indicates excess condition with strong pathogenic factor and strong Zheng Qi. Requires purging or draining treatment.,"LI4, LI11, ST44 for heat; ST25 for constipation",Da Cheng Qi Tang if appropriate,Avoid strong purgatives during pregnancy
What does an empty pulse indicate?,An empty pulse is broad but weak and soft. It indicates Qi deficiency - the Qi cannot fill the vessels properly. The pulse disappears with pressure.,"ST36, CV4, CV6, BL20",Bu Zhong Yi Qi Tang; Si Jun Zi Tang,Safe to tonify Qi during pregnancy
What does a knotted pulse indicate?,A knotted pulse is slow with irregular pauses. The pauses are without regular pattern. It indicates Yin or blood stasis cold congealing blood or Heart Qi obstruction.,"HT7, PC6, BL15, SP6",Zhi Gan Cao Tang; Gui Zhi Gan Cao Tang,Cardiac evaluation needed during pregnancy
What does a hurried pulse indicate?,A hurried pulse is rapid with irregular pauses. It indicates excess heat agitating the Heart or severe fire exhausting Yin. A serious sign requiring immediate attention.,"HT7, PC6, KI6, GV14",Emergency formulas may be needed,Emergency sign - refer for cardiac evaluation
What does an intermittent pulse indicate?,An intermittent pulse has regular pauses at fixed intervals. It indicates organ exhaustion declining Zheng Qi or severe internal injury. More serious than knotted or hurried.,"HT7, PC6, ST36, CV4",Zhi Gan Cao Tang; constitutional formulas,Serious sign - refer for medical evaluation
What does a leather pulse indicate?,A leather pulse is superficial wiry and hollow - like pressing on a drum. It indicates severe blood or Yin deficiency with Jing exhaustion. Often seen in severe bleeding or after childbirth.,"SP6, ST36, BL17, KI3",Dang Gui Bu Xue Tang; massive blood tonics,Postpartum bleeding concern - refer if needed
What does a tight pulse indicate?,A tight pulse feels like a tightly twisted rope. It indicates cold or pain. The cold causes the vessels to contract. Often felt with cold invasion or abdominal pain from cold.,"CV4 with moxa, ST36, LR3",Gui Zhi Tang for cold; Li Zhong Wan,Warming formulas with care during pregnancy
What does a soft pulse indicate?,A soft pulse is thin weak and floating. It indicates dampness with Qi and blood deficiency. Often felt in chronic dampness conditions or during recovery.,"SP6, SP9, ST36, BL20",Shen Ling Bai Zhu San; Liu Jun Zi Tang,Safe formulas during pregnancy
What does a hidden pulse indicate?,A hidden pulse is so deep it can only be felt by pressing to the bone. It indicates extreme cold syncope or severe pain causing Qi to hide deeply.,"GV26, CV4, PC6 for emergency",Si Ni Tang for cold collapse,Emergency sign - refer immediately
What does a scattered pulse indicate?,A scattered pulse is floating without root and disappears with light pressure. It indicates severe exhaustion of original Qi. A grave prognosis sign indicating near death.,"CV4, CV8, ST36 with moxa",Emergency rescue formulas,Critical sign - emergency medical care
What does a confined pulse indicate?,A confined pulse is deep wiry and forceful. It indicates severe interior cold or accumulation with pain. The pathogenic factor is strongly trapped inside.,"CV4, LR3, ST36",Pattern dependent,Investigate cause carefully during pregnancy
What does a minute pulse indicate?,A minute pulse is extremely thin and soft barely perceptible. It indicates severe Qi and blood deficiency or Yang exhaustion. Prognosis depends on other signs.,"ST36, CV4, CV6 with moxa",Strong tonification formulas,Severe deficiency - medical support needed
What does a firm pulse indicate?,A firm pulse is deep long wiry and slightly slippery. It indicates Yin cold accumulation or internal masses. Often felt with deep internal stagnation.,"LR3, CV4, SP6",Pattern dependent - masses need evaluation,Investigate masses during pregnancy
What does a short pulse indicate?,A short pulse only occupies one or two positions instead of all three. It indicates Qi deficiency or stagnation. The Qi cannot extend through all positions.,"ST36, CV6, LR3",Bu Zhong Yi Qi Tang; Xiao Yao San,Safe formulas during pregnancy
What does a long pulse indicate?,A long pulse extends beyond the normal boundaries at both ends. It indicates excess condition or Liver Yang rising. May be felt with strong constitution or hypertension.,"LR3, GV20, GB20, ST36",Tian Ma Gou Teng Yin for hypertension,Monitor blood pressure during pregnancy
What is the normal pulse rate?,Normal pulse rate is 4-5 beats per respiration (60-80 beats per minute). Faster than this is rapid; slower is slow. Rate should be regular without pauses.,"Healthy pulse indicates no treatment needed",Preventive care only,Normal vital sign during pregnancy
How to assess pulse strength?,Pulse strength is felt as forceful (excess) or weak (deficiency). Forceful pulses push back against fingers; weak pulses are easily suppressed. This determines excess vs deficiency patterns.,"Excess patterns: drain; Deficiency: tonify",Pattern-based treatment,Critical for correct treatment during pregnancy
What are the three pulse positions?,The three positions are Cun (distal-Lung/Heart) Guan (middle-Liver/Spleen) and Chi (proximal-Kidney). Left side reflects Yin organs; right side reflects Yang organs. Each position read at three depths.,"Position-specific treatment",Organ-specific formulas,Standard diagnostic method
