Question,Answer,TCM Acupuncture Points,Pharmacopeia/Herbal Formula
What organ system is primarily affected by anger in TCM?,"In Traditional Chinese Medicine, anger primarily affects the Liver organ system. The Liver governs the free flow of Qi throughout the body and stores blood. Anger causes Liver Qi stagnation and Liver Yang rising, leading to headaches, red eyes, irritability, and chest tightness. The Liver houses the Hun (Ethereal Soul) and governs planning and vision.","LR-3 (Taichong), LR-2 (Xingjian), LR-14 (Qimen), GB-34 (Yanglingquan)","Long Dan Xie Gan Tang (Gentiana Drain the Liver Decoction) - drains Liver fire, clears damp-heat, treats irritability, headaches, and red eyes from excess Liver fire"
How does anger manifest emotionally and physically according to TCM?,"Anger in TCM manifests as Liver Qi stagnation and rising Yang with symptoms including headaches (especially temporal/vertex), red face and eyes, neck tension, hypertension, dizziness, and bitter taste. Emotionally, it presents as irritability, frustration, rage outbursts, impatience, and resentment. Suppressed anger creates more stagnation; explosive anger indicates Yang rising.","LR-3 (Taichong), LR-2 (Xingjian), GB-20 (Fengchi), GB-43 (Xiaxi), Taiyang (EX-HN5)","Chai Hu Shu Gan San (Bupleurum Powder to Spread the Liver) - soothes Liver, regulates Qi, relieves constraint, treats Liver Qi stagnation with irritability and chest oppression"
What is the relationship between the Liver and Gallbladder in anger processing?,"The Liver and Gallbladder are paired Zang-Fu organs in the Wood element. The Liver stores blood and regulates Qi flow; the Gallbladder stores bile and governs decision-making. Anger affects both: Liver Qi stagnation causes irritability and resentment; Gallbladder dysfunction causes difficulty making decisions and acting on anger appropriately. Together they govern the healthy expression of assertiveness.","LR-3 (Taichong), GB-34 (Yanglingquan), GB-40 (Qiuxu), LR-14 (Qimen), GB-24 (Riyue)","Xiao Chai Hu Tang (Minor Bupleurum Decoction) - harmonizes Liver and Gallbladder, resolves Shaoyang patterns, treats irritability with alternating chills and fever"
How does suppressed anger lead to Liver Qi stagnation?,"When anger is not expressed or processed, it causes Liver Qi to stagnate. This stagnation manifests as chest and rib-side distension, sighing, depression, irregular menstruation, breast tenderness, and a feeling of a lump in the throat (plum-pit Qi). Long-term suppression can transform into Liver fire or blood stasis, creating more severe pathology.","LR-3 (Taichong), LR-14 (Qimen), PC-6 (Neiguan), CV-17 (Shanzhong), GB-34 (Yanglingquan)","Xiao Yao San (Free and Easy Wanderer) - soothes Liver, strengthens Spleen, nourishes blood, the primary formula for Liver Qi stagnation with depression and emotional constraint"
What happens when Liver Qi stagnation transforms into Liver Fire?,"Prolonged Liver Qi stagnation generates heat that transforms into Liver Fire. This manifests as intense irritability, explosive anger, throbbing headaches, red face and eyes, bitter taste, dry mouth, constipation, dark urine, and insomnia with vivid dreams. Liver Fire can injure Liver Yin, creating a cycle of fire and deficiency. Treatment must clear fire while protecting Yin.","LR-2 (Xingjian), GB-43 (Xiaxi), LR-3 (Taichong), GB-20 (Fengchi), Taiyang (EX-HN5), LI-11 (Quchi)","Long Dan Xie Gan Tang (Gentiana Drain the Liver Decoction) - powerfully drains Liver fire, clears damp-heat from lower jiao, treats extreme irritability and Liver fire patterns"
How does anger affect the Spleen and digestion?,"When Liver Qi stagnates, it often 'attacks' the Spleen (Wood overcontrols Earth). This creates Liver-Spleen disharmony with symptoms of abdominal pain, bloating, alternating constipation and diarrhea (IBS pattern), poor appetite, and fatigue. Emotionally, anger mixes with worry. Eating while angry severely damages digestion. Treatment must soothe Liver while strengthening Spleen.","LR-3 (Taichong), SP-6 (Sanyinjiao), ST-36 (Zusanli), CV-12 (Zhongwan), LR-13 (Zhangmen)","Tong Xie Yao Fang (Pain and Diarrhea Formula) - harmonizes Liver and Spleen, treats IBS-type symptoms from Liver attacking Spleen; or Xiao Yao San for milder cases"
How does anger cause headaches in TCM?,"Liver Yang rising from anger causes characteristic headaches: temporal (Gallbladder channel), vertex (Liver channel), or behind the eyes. The pain is often throbbing, severe, and accompanied by irritability, red eyes, and sensitivity to light. Migraine patterns often involve Liver Yang rising with underlying Liver blood or Yin deficiency. Wind from Liver Yang creates sudden, intense pain.","GB-20 (Fengchi), Taiyang (EX-HN5), GB-8 (Shuaigu), LR-3 (Taichong), LR-2 (Xingjian), GV-20 (Baihui)","Tian Ma Gou Teng Yin (Gastrodia and Uncaria Beverage) - calms Liver Yang, extinguishes wind, treats headaches, dizziness, and hypertension from Liver Yang rising"
What is the relationship between anger and blood pressure?,"Liver Yang rising directly causes hypertension in TCM. Chronic anger keeps Liver Yang elevated, manifesting as high blood pressure, headaches, tinnitus, dizziness, and red face. The Liver's failure to smooth Qi flow causes blood vessel tension. Treatment calms Liver Yang, anchors rising Qi, and nourishes Liver Yin to prevent Yang from rising uncontrolled.","LR-3 (Taichong), GB-20 (Fengchi), ST-36 (Zusanli), KI-3 (Taixi), GV-20 (Baihui), LI-11 (Quchi)","Tian Ma Gou Teng Yin (Gastrodia and Uncaria Beverage) - primary formula for Liver Yang rising with hypertension; or Long Dan Xie Gan Tang for excess Liver fire patterns"
How does anger affect women's menstrual health?,"The Liver stores blood and regulates its release during menstruation. Anger-related Liver Qi stagnation causes PMS with breast tenderness, irritability, and mood swings. It leads to painful periods (dysmenorrhea), irregular cycles, and dark clotted blood. Liver fire can cause heavy bleeding, while Liver blood stasis causes fixed, stabbing menstrual pain. Treatment varies by pattern.","LR-3 (Taichong), SP-6 (Sanyinjiao), SP-10 (Xuehai), CV-6 (Qihai), LR-14 (Qimen)","Xiao Yao San for Qi stagnation PMS; Jia Wei Xiao Yao San (Free and Easy Wanderer Plus) adds herbs to clear heat for irritability with heat signs; Ge Xia Zhu Yu Tang for blood stasis"
What is LR-3 (Taichong) and why is it essential for anger?,"LR-3 (Taichong - Supreme Rushing) is the Yuan-source point of the Liver meridian, located on the dorsum of the foot. It is the most important point for soothing Liver Qi and treating all anger-related conditions. It moves stagnant Qi, calms Liver Yang, nourishes Liver blood, and regulates menstruation. Combined with LI-4 (Hegu), it creates the 'Four Gates' protocol for moving stuck Qi and emotions.","LR-3 (Taichong), LI-4 (Hegu) - Four Gates combination; add GB-34 for Liver-Gallbladder, LR-2 for fire, LR-14 for chest oppression","Chai Hu Shu Gan San or Xiao Yao San - both use Chai Hu (Bupleurum) as chief herb to move Liver Qi, mimicking the action of LR-3 in herbal form"
