Question,Answer,TCM Acupuncture Points,Pharmacopeia/Herbal Formula
What organ system is primarily affected by trauma in TCM?,"In Traditional Chinese Medicine, trauma primarily affects the Heart and Pericardium. The Heart houses the Shen (Spirit/Mind), which becomes unsettled or scattered after traumatic events. The Pericardium acts as the Heart's protector, and both can be overwhelmed by shock and terror, leading to Shen disturbance, anxiety, and disconnection from self.","HT-7 (Shenmen), PC-6 (Neiguan), PC-7 (Daling), GV-20 (Baihui)","An Shen Ding Zhi Wan (Calm the Spirit and Stabilize the Mind Pill) - calms Shen, anchors spirit, treats anxiety, palpitations, and fright"
How does trauma manifest emotionally and physically according to TCM?,"Trauma in TCM manifests as Shen disturbance with symptoms including anxiety, hypervigilance, insomnia, nightmares, palpitations, and startle responses. Physically, it presents as muscle tension, headaches, digestive upset, and autonomic dysregulation. The Heart and Kidney connection (water-fire axis) becomes disrupted, leading to fear-anxiety cycles and difficulty grounding.","HT-7 (Shenmen), KI-3 (Taixi), PC-6 (Neiguan), GV-20 (Baihui), Yintang (EX-HN3)","Tian Wang Bu Xin Dan (Emperor of Heaven's Special Pill to Tonify the Heart) - nourishes Heart Yin, calms Shen, treats insomnia, anxiety, and restlessness from Yin deficiency"
What is the relationship between Heart and Kidney in trauma processing?,"The Heart-Kidney axis is central to trauma processing. The Heart (Fire) and Kidney (Water) must communicate and balance each other. Trauma disrupts this connection: Heart fire flares up (anxiety, racing thoughts) while Kidney water fails to anchor it (fear, groundlessness). This creates Heart-Kidney disharmony with symptoms of anxiety above and fear below, restless spirit, and loss of felt safety.","HT-7 (Shenmen), KI-3 (Taixi), KI-6 (Zhaohai), PC-8 (Laogong), KI-1 (Yongquan)","Jiao Tai Wan (Grand Communication Pill) - connects Heart and Kidney, descends Heart fire, raises Kidney water, treats insomnia and anxiety from Heart-Kidney disharmony"
How does trauma affect the Liver and Gallbladder in TCM?,"Trauma significantly impacts the Liver and Gallbladder. The Liver stores blood and regulates emotions; trauma causes severe Liver Qi stagnation and blood stasis. The Gallbladder governs decision-making and courage; trauma weakens it, causing timidity, indecision, and startling easily. Liver-Gallbladder disharmony manifests as irritability, rage outbursts, nightmares, and bitter taste.","LR-3 (Taichong), GB-40 (Qiuxu), GB-34 (Yanglingquan), LR-14 (Qimen), GB-13 (Benshen)","Wen Dan Tang (Warm the Gallbladder Decoction) - transforms phlegm, calms Shen, strengthens Gallbladder, treats anxiety, insomnia, and nightmares from phlegm-heat disturbing Heart"
What is the role of Jing (Essence) depletion in chronic trauma?,"Chronic trauma depletes Kidney Jing (Essence), the foundational substance of life. Jing depletion manifests as premature aging, chronic fatigue, weak constitution, developmental issues, and susceptibility to further stress. When Jing is depleted, the body cannot recover from stress properly, creating a vulnerability cycle. This explains intergenerational trauma patterns in TCM understanding.","KI-3 (Taixi), CV-4 (Guanyuan), GV-4 (Mingmen), BL-23 (Shenshu), KI-7 (Fuliu)","Zuo Gui Wan (Restore the Left Kidney Pill) or You Gui Wan (Restore the Right Kidney Pill) - nourishes Kidney Yin/Yang, replenishes Jing, rebuilds constitutional foundation"
How does phlegm obstruction develop from trauma in TCM?,"Trauma-induced Qi stagnation impairs Spleen function and fluid metabolism, leading to phlegm accumulation. Phlegm can mist the Heart orifices, causing mental confusion, dissociation, and cognitive dysfunction. This creates 'phlegm-fire harassing the Heart' pattern with symptoms of mania, severe anxiety, incoherent speech, and impaired reality testing seen in severe PTSD.","ST-40 (Fenglong), PC-5 (Jianshi), HT-7 (Shenmen), GV-26 (Shuigou), CV-12 (Zhongwan)","Wen Dan Tang (Warm the Gallbladder Decoction) or Di Tan Tang (Scour Phlegm Decoction) - transforms phlegm, opens orifices, calms Shen, treats dissociation and confusion"
What is the significance of the Yin Wei Mai in trauma treatment?,"The Yin Wei Mai (Yin Linking Vessel) connects all Yin meridians and is essential for emotional regulation and integration. Its master point PC-6 (Neiguan) is crucial for trauma treatment, opening the chest, calming the Heart, and regulating the relationship between Heart and Pericardium. It helps process overwhelming emotions and restore emotional coherence after fragmentation.","PC-6 (Neiguan), SP-4 (Gongsun), CV-17 (Shanzhong), HT-7 (Shenmen), KI-9 (Zhubin)","Gui Pi Tang (Restore the Spleen Decoction) - nourishes Heart blood, strengthens Spleen, calms Shen, treats palpitations, anxiety, and insomnia from Heart-Spleen deficiency"
How does acupuncture help process trauma according to research?,"Research shows acupuncture modulates the autonomic nervous system, shifting from sympathetic (fight-flight) dominance to parasympathetic (rest-digest) activation. It regulates the HPA axis, reduces cortisol levels, and modulates amygdala activity. Acupuncture increases endorphins and serotonin while decreasing norepinephrine, helping to reprocess traumatic memories without re-traumatization.","GV-20 (Baihui), PC-6 (Neiguan), HT-7 (Shenmen), ST-36 (Zusanli), LR-3 (Taichong)","Xiao Yao San (Free and Easy Wanderer) - soothes Liver, nourishes blood, strengthens Spleen, regulates stress response, treats irritability and emotional lability"
What acupuncture points help with dissociation and grounding?,"For dissociation and grounding, focus on points that connect to Earth and anchor the Shen. KI-1 (Yongquan - Bubbling Spring) at the foot sole strongly grounds scattered Qi. GV-20 (Baihui) at the vertex anchors the spirit. ST-36 (Zusanli) strengthens Earth element. SP-1 (Yinbai) treats excessive thinking. CV-6 (Qihai) gathers Qi in the lower Dan Tian for stability.","KI-1 (Yongquan), GV-20 (Baihui), ST-36 (Zusanli), CV-6 (Qihai), SP-1 (Yinbai), Yintang (EX-HN3)","Si Ni San (Frigid Extremities Powder) - regulates Qi, warms extremities, treats cold hands and feet from Liver Qi stagnation affecting circulation; helps reconnect body awareness"
What is GV-20 (Baihui) and why is it essential for trauma?,"GV-20 (Baihui - Hundred Meetings) at the crown of the head is where all Yang meridians meet. It calms the mind, lifts the spirit, treats all mental-emotional disorders. For trauma, it anchors the Shen that has scattered upward, treats dizziness, headaches, and mental confusion. Combined with KI-1, it creates a powerful axis connecting heaven and earth, restoring felt safety.","GV-20 (Baihui), GV-24 (Shenting), GV-16 (Fengfu), Sishencong (EX-HN1), Yintang (EX-HN3)","Ding Zhi Wan (Settle the Emotions Pill) - calms Shen, settles fright, nourishes Heart Qi, treats anxiety, restlessness, and scattered spirit from shock"
