Question,Answer,Points,Pharmacopeia,Pregnancy_Warning
What does a pale tongue indicate?,A pale tongue indicates blood deficiency or Yang deficiency. The tongue appears lighter than normal pink due to insufficient blood to nourish the tongue body. May also indicate Qi deficiency affecting blood production.,"SP6, ST36, BL17, BL20",Si Wu Tang for blood deficiency; Bu Zhong Yi Qi Tang for Qi deficiency,Safe to treat underlying deficiency during pregnancy
What does a red tongue body indicate?,A red tongue indicates heat in the body - either excess heat or Yin deficiency heat. Excess heat shows a red tongue with yellow coating; Yin deficiency heat shows red with little or no coating and may have cracks.,"LI11, GV14, KI3, KI6",Huang Lian Jie Du Tang for excess heat; Liu Wei Di Huang Wan for Yin deficiency,Avoid strong heat-clearing herbs during pregnancy
What does a purple tongue mean?,A purple tongue indicates blood stasis. If purple and dry it suggests heat with blood stasis. If purple and wet it indicates cold with blood stasis. Localized purple spots indicate localized stasis.,"SP10, SP6, LR3, BL17",Xue Fu Zhu Yu Tang for upper body stasis; Shao Fu Zhu Yu Tang for lower body,AVOID blood-moving formulas during pregnancy
What does a swollen tongue indicate?,A swollen tongue often indicates dampness or phlegm accumulation. If pale and swollen it suggests Spleen Qi or Yang deficiency with dampness. If red and swollen it indicates heat with dampness.,"SP9, ST40, SP6, CV12",Er Chen Tang for phlegm; Ping Wei San for dampness,Generally safe to resolve dampness during pregnancy
What does a thin tongue body mean?,A thin tongue indicates blood or Yin deficiency. The tongue body lacks nourishment and becomes atrophied. Often seen with chronic illness or constitutional weakness.,"SP6, ST36, KI3, LR8",Si Wu Tang; Liu Wei Di Huang Wan,Safe to nourish Yin and blood during pregnancy
What does a trembling tongue indicate?,A trembling or quivering tongue indicates internal wind from Liver Yang rising or blood deficiency failing to nourish the sinews. May also indicate extreme deficiency of Qi.,"LR3, GB20, SP6, GV20",Tian Ma Gou Teng Yin for Liver wind; Si Wu Tang for blood deficiency,Monitor for preeclampsia signs if during pregnancy
What does a deviated tongue mean?,A tongue that deviates to one side when extended indicates wind-stroke or internal wind affecting the channels. This is a serious sign requiring immediate attention if sudden onset.,"LI4, ST36, GB20, GV26",Bu Yang Huan Wu Tang for post-stroke,Emergency sign - refer for medical evaluation
What does a stiff tongue indicate?,A stiff tongue that is difficult to move indicates either heat damaging fluids or phlegm obstructing the Heart orifices. May also indicate wind-stroke affecting the tongue.,"PC6, HT7, ST40, GV26",An Gong Niu Huang Wan for emergency; Dao Tan Tang for phlegm,Serious sign - refer for evaluation
What does a geographic tongue mean in TCM?,Geographic tongue (map-like patches) indicates Yin deficiency with heat. The patches show areas where the coating has peeled away. Often indicates Stomach or Kidney Yin deficiency.,"ST36, KI3, KI6, SP6",Sha Shen Mai Dong Tang; Liu Wei Di Huang Wan,Safe to nourish Yin during pregnancy
What does a thick white tongue coating indicate?,A thick white coating indicates cold-dampness or food stagnation. If greasy it indicates phlegm-dampness. The thicker the coating the more severe the pathogenic factor.,"SP9, ST40, CV12, PC6",Er Chen Tang; Ping Wei San for dampness,Generally safe during pregnancy with mild formulas
