Question_Symptom,Scientific_Mechanism_Vagus,TCM_Dot_Numbers_Acupoints,Pharmacopeia_Formula
"Do you feel 'wired but tired', unable to calm your racing heart?",Low Vagal Tone causing Sympathetic Overdrive,HT7 (Shenmen) + PC6 (Neiguan) + Ear Shen Men,Tian Wang Bu Xin Dan
"Do you have a 'gut feeling' of anxiety or nausea when stressed?",Gut-Brain Axis dysregulation via Vagus afferent fibers,ST36 (Zusanli) + CV12 (Zhongwan) + PC6 (Neiguan),Wen Dan Tang
"Do you find it hard to make eye contact or connect socially?",Ventral Vagus shutdown (Social Engagement System),HT5 (Tongli) + DU20 (Baihui) + Ear Point Zero,Gan Mai Da Zao Tang
"Do you suffer from chronic inflammation or auto-immune flare-ups?",Cholinergic Anti-inflammatory Pathway (CAP) dysfunction,LI11 (Quchi) + ST36 (Zusanli) + Ear Vagus Zone,Xiao Chai Hu Tang
"Do you experience 'frozen' states or dissociation during trauma recall?",Dorsal Vagal Shutdown (Freeze response),GV20 (Baihui) + KI1 (Yongquan) + GV4 (Mingmen),Chai Hu Long Gu Mu Li Tang
"Do you have a lump in your throat (Plum Pit Qi)?",Vagus Nerve laryngeal branch constriction due to stress,CV22 (Tiantu) + PC6 (Neiguan) + LR3 (Taichong),Ban Xia Hou Po Tang
"Does your heart skip beats or palpitate when sleeping?",Vagal brake failure on the Sinoatrial Node,HT7 (Shenmen) + PC6 (Neiguan) + UB15 (Xinshu),Gui Pi Tang
"Do you wake up between 1 AM and 3 AM regularly?",Liver-Vagus circadian rhythm disruption,LR14 (Qimen) + UB18 (Ganshu) + Ear Liver,Long Dan Xie Gan Tang
"Is your digestion slow, causing bloating after eating?",Gastric Vagal motor inhibition (low motility),ST36 (Zusanli) + SP4 (Gongsun) + CV12 (Zhongwan),Xiang Sha Liu Jun Zi Tang
"Do you startle easily at loud noises (Hyper-vigilance)?",Dysfunctional Vagal braking mechanism,PC7 (Daling) + HT7 (Shenmen) + KI3 (Taixi),Suan Zao Ren Tang
"Do you have cold hands and feet despite being warm?",Vagus withdrawal causing peripheral vasoconstriction,LI4 (Hegu) + LR3 (Taichong) [Four Gates],Si Ni San
"Do you feel emotionally numb or empty inside?",Vagus-Insula cortex disconnection (Interoception loss),GV20 (Baihui) + Sishencong + HT9 (Shaochong),Bu Nao Wan
"Do you have chronic neck stiffness and tension headaches?",Accessory Nerve / Vagus Nerve crosstalk tension,GB20 (Fengchi) + UB10 (Tianzhu) + SI3 (Houxi),Ge Gen Tang
"Do you crave sugar or carbs when emotional?",Vagus-Gut signaling seeking dopamine hit,SP6 (Sanyinjiao) + ST36 (Zusanli) + Ear Stomach,Gui Pi Tang
"Do you have difficulty taking a deep satisfying breath?",Phrenic/Vagus nerve diaphragm tension,LU9 (Taiyuan) + LU7 (Lieque) + CV17 (Danzhong),Su Zi Jiang Qi Tang
"Do you suffer from silent reflux or GERD?",Lower Esophageal Sphincter vagal malfunction,CV12 (Zhongwan) + ST36 (Zusanli) + PC6 (Neiguan),Ban Xia Xie Xin Tang
"Is your voice weak, hoarse, or easily lost?",Recurrent Laryngeal Nerve (Vagus branch) weakness,LU9 (Taiyuan) + KI6 (Zhaohai) + CV22 (Tiantu),Bu Zhong Yi Qi Tang
