Question,Answer,Acupuncture Points,Herbal Formula
What is the fundamental principle of Yin-Yang in TCM?,Yin-Yang is the foundational concept describing two opposing yet complementary forces in nature and the human body. Balance between these forces is essential for health and wellbeing.,"CV4, GV20",Liu Wei Di Huang Wan
What are the main characteristics of Yin?,"Yin is characterized by qualities of internal, cool, moist, calm, feminine, soft, descending, and dark. Yin represents the nourishing and receptive energy in the body.","KI3, SP6",Er Zhi Wan
What are the main characteristics of Yang?,"Yang is characterized by qualities of external, warm, dry, active, masculine, hard, ascending, and bright. Yang represents the dynamic and transformative energy in the body.","GV14, ST36",You Gui Wan
How does Yin deficiency manifest in the body?,"Yin deficiency manifests as night sweats, dry mouth, heat in palms and soles (five palm heat), insomnia, constipation, red tongue with little coating, and rapid thin pulse.","KI3, KI6, SP6",Zhi Bai Di Huang Wan
How does Yang deficiency manifest in the body?,"Yang deficiency manifests as cold extremities, fatigue, pale complexion, frequent urination, loose stools, pale swollen tongue, and slow weak pulse.","CV4, CV6, GV4",Jin Gui Shen Qi Wan
What happens when Yin and Yang are in perfect balance?,"Perfect balance brings optimal health, stable energy, normal body temperature, emotional stability, strong immunity, and proper functioning of all body systems.","CV12, CV6, ST36",Xiao Yao San
Which organs are considered Yin in TCM?,"The Yin organs (Zang) include Liver, Heart, Spleen, Lung, and Kidney. These are solid organs responsible for storing vital substances like Qi, Blood, and essence.","LR3, HT7, SP6, LU9, KI3",Si Jun Zi Tang
Which organs are considered Yang in TCM?,"The Yang organs (Fu) include Gallbladder, Small Intestine, Stomach, Large Intestine, and Bladder. These are hollow organs responsible for digestion, transformation, and excretion.","GB34, SI3, ST36, LI4, BL23",Bao He Wan
What is the relationship between Yin and Yang?,"Yin and Yang are interdependent,互相 互根 (mutually rooted), 互用 (mutually useful), and互制 (mutually restricting). One cannot exist without the other, and they constantly transform into each other.","CV4, GV20, PC6",Gui Pi Tang
Why are the small dots in the Yin-Yang symbol important?,"The white dot in black and black dot in white symbolize that there's always some Yin within Yang and Yang within Yin, representing their interpenetration and mutual dependence.","CV17, GV14",Tian Wang Bu Xin Dan
How can tongue diagnosis reveal Yin-Yang imbalance?,A red tongue indicates Yang excess or Yin deficiency. A pale tongue indicates Yang deficiency or Yin excess. Tongue coating thickness and moisture also reflect Yin-Yang balance.,"CV12, SP4",Huang Lian Jie Du Tang
How does pulse diagnosis identify Yin-Yang patterns?,"A rapid pulse indicates heat (Yang), while a slow pulse indicates cold (Yin). A strong pulse suggests excess, while a weak pulse suggests deficiency. Pulse depth also reflects interior (Yin) versus exterior (Yang).","PC6, HT7",Sheng Mai San
What facial signs indicate Yang excess?,"Red face, acne, rashes, oily skin, loud voice, restlessness, and aggressive behavior indicate Yang excess or heat patterns.","LI4, LI11, ST44",Long Dan Xie Gan Tang
What facial signs indicate Yin deficiency?,"Dry skin, fine wrinkles, flushed cheeks (malar flush), dry lips, and a tired appearance indicate Yin deficiency patterns.","KI6, LU7, SP6",Mai Men Dong Tang
How does body temperature relate to Yin-Yang?,Feeling persistently cold indicates Yang deficiency or Yin excess. Feeling hot or having low-grade fever indicates Yang excess or Yin deficiency. Normal temperature reflects balance.,"CV6, GV14",Gui Zhi Tang
What do different sweat patterns reveal about Yin-Yang?,Night sweats indicate Yin deficiency. Spontaneous daytime sweating indicates Yang or Qi deficiency. Absence of sweating may indicate Yang excess or exterior cold.,"KI7, HT6, ST36",Dang Gui Liu Huang Tang
How does pain quality reflect Yin-Yang imbalance?,"Fixed, dull, chronic pain suggests Yin patterns or stagnation. Sharp, acute, burning pain suggests Yang patterns or heat. Pain relieved by warmth indicates Yang deficiency.","SP4, PC6, LI4",Shao Fu Zhu Yu Tang
What sleep patterns indicate Yin-Yang imbalance?,Difficulty falling asleep suggests Yang not entering Yin. Waking at night (especially 1-3am) suggests Yin deficiency. Excessive sleepiness suggests Yang deficiency.,"HT7, KI3, AN-MIAN",Suan Zao Ren Tang
How do emotional patterns relate to Yin-Yang?,"Excessive emotions (anger, excitement, mania) indicate Yang excess. Deficient emotions (depression, fear, sadness) indicate Yin excess or Yang deficiency.","LR3, PC6, HT7",Chai Hu Jia Long Gu Mu Li Tang
What do urine characteristics reveal about Yin-Yang?,"Dark, scanty, burning urine indicates Yang excess or Yin deficiency. Pale, copious, frequent urine indicates Yang deficiency. Clear moderate urine indicates balance.","BL28, SP9, KI3",Zhu Ling Tang
What is the basic treatment principle for Yin deficiency?,"Nourish Yin, clear deficiency heat, and calm the spirit. Use cooling, moistening herbs and tonifying Yin acupuncture points, especially Kidney and Lung Yin.","KI3, KI10, SP6, LU7",Liu Wei Di Huang Wan
What is the basic treatment principle for Yang deficiency?,"Warm and tonify Yang, especially Kidney and Spleen Yang. Use warming herbs and moxibustion on Yang-tonifying points.","CV4, CV6, GV4, ST36",Fu Zi Li Zhong Wan
How does acupuncture restore Yin-Yang balance?,"Acupuncture regulates Qi flow through meridians, harmonizing Yin and Yang. Tonification strengthens deficiency, while sedation reduces excess. Point selection depends on the specific imbalance.","CV4, GV20, PC6, ST36",Bu Zhong Yi Qi Tang
What is the role of moxibustion in Yang deficiency?,"Moxibustion warms meridians and expels cold, strongly tonifying Yang energy. It's especially effective for Yang deficiency with cold symptoms.","CV8, CV4, ST36, BL23",Shen Qi Wan
How do herbal formulas balance Yin and Yang?,"Herbs are categorized by temperature (cold to hot) and flavor, affecting Yin-Yang balance. Cold herbs clear heat and nourish Yin; warm herbs tonify Yang and expel cold.","CV12, ST36",Yin Yang Huo (Epimedium)
When should you tonify Yin first in treatment?,"Tonify Yin first when there's Yin deficiency with empty heat, night sweats, insomnia, dry symptoms, or when Yang is floating due to deficient Yin.","KI3, SP6, LR8",Da Bu Yin Wan
